card,hunter_share,mage_share,warrior_share,hunter_n_elites,mage_n_elites,warrior_n_elites
Abomination,0.1364,0.0,0.1818,22,14,22
Abusive Sergeant,0.0909,0.0,0.0455,22,14,22
Acidic Swamp Ooze,0.0,0.2143,0.0,22,14,22
Acolyte of Pain,0.0,0.4286,0.7273,22,14,22
Alexstrasza,0.0,0.0,0.2273,22,14,22
Amani Berserker,0.0,1.0,0.1818,22,14,22
Ancient Mage,0.0909,0.0,0.0,22,14,22
Ancient Watcher,0.0,0.0,0.0455,22,14,22
Animal Companion,1.0,0.0,0.0,22,14,22
Arathi Weaponsmith,0.0,0.0,0.1818,22,14,22
Arcane Explosion,0.0,0.0714,0.0,22,14,22
Arcane Golem,0.0,0.2143,0.0455,22,14,22
Arcane Intellect,0.0,0.1429,0.0,22,14,22
Arcane Missiles,0.0,1.0,0.0,22,14,22
Arcane Shot,0.4091,0.0,0.0,22,14,22
Arcanite Reaper,0.0,0.0,0.1364,22,14,22
Argent Commander,0.0,0.0,0.3182,22,14,22
Argent Squire,0.0,0.1429,0.0909,22,14,22
Armorsmith,0.0,0.0,0.8636,22,14,22
Azure Drake,0.0,0.9286,0.5455,22,14,22
Baron Geddon,0.0,0.5,0.0,22,14,22
Battle Rage,0.0,0.0,0.0455,22,14,22
Big Game Hunter,0.0909,0.0,0.3182,22,14,22
Blood Knight,0.0455,0.0,0.0,22,14,22
Bloodfen Raptor,0.0909,0.0,0.1364,22,14,22
Bloodmage Thalnos,0.0,0.2143,0.0,22,14,22
Bloodsail Corsair,0.0,0.0,0.1364,22,14,22
Bloodsail Raider,0.0455,0.0,0.1364,22,14,22
Boulderfist Ogre,0.0,0.0714,0.0909,22,14,22
Brawl,0.0,0.0,0.5,22,14,22
Cairne Bloodhoof,0.0,0.0,0.2273,22,14,22
Chillwind Yeti,0.0,0.1429,0.0,22,14,22
Cleave,0.0,0.0,0.5909,22,14,22
Coldlight Oracle,0.0,0.0,0.1364,22,14,22
Coldlight Seer,0.0,0.0,0.0455,22,14,22
Core Hound,0.0,0.2143,0.0,22,14,22
Cruel Taskmaster,0.0,0.0,0.9545,22,14,22
Dalaran Mage,0.0,0.0,0.2727,22,14,22
Dark Iron Dwarf,0.0909,0.1429,0.0455,22,14,22
Deadly Shot,0.7727,0.0,0.0,22,14,22
Deathlord,0.0455,0.0,0.0455,22,14,22
Demolisher,0.0,0.0,0.1364,22,14,22
Dire Wolf Alpha,0.3182,0.2857,0.0455,22,14,22
Eaglehorn Bow,0.8636,0.0,0.0,22,14,22
Earthen Ring Farseer,0.0,0.0,0.0455,22,14,22
Echoing Ooze,0.1818,0.0,0.0,22,14,22
Elite Tauren Chieftain,0.0455,0.0,0.0909,22,14,22
Elven Archer,0.0,0.0714,0.0,22,14,22
Execute,0.0,0.0,1.0,22,14,22
Explosive Shot,0.0909,0.0,0.0,22,14,22
Explosive Trap,0.8636,0.0,0.0,22,14,22
Faceless Manipulator,0.0,0.1429,0.0,22,14,22
Faerie Dragon,0.0455,0.2143,0.0,22,14,22
Fen Creeper,0.0,0.0,0.1818,22,14,22
Feugen,0.0,0.6429,0.0,22,14,22
Fiery War Axe,0.0,0.0,0.7727,22,14,22
Fireball,0.0,1.0,0.0,22,14,22
Flamestrike,0.0,0.1429,0.0,22,14,22
Flare,0.3636,0.0,0.0,22,14,22
Flesheating Ghoul,0.0455,0.2143,0.0909,22,14,22
Freezing Trap,0.8182,0.0,0.0,22,14,22
Frostbolt,0.0,1.0,0.0,22,14,22
Frostwolf Grunt,0.0,0.0,0.0455,22,14,22
Frothing Berserker,0.0,0.0,0.4091,22,14,22
Gadgetzan Auctioneer,0.3182,0.1429,0.0,22,14,22
Goldshire Footman,0.1364,0.0,0.0909,22,14,22
Grimscale Oracle,0.0909,0.0,0.0,22,14,22
Grommash Hellscream,0.0,0.0,0.4545,22,14,22
Gurubashi Berserker,0.0,0.1429,0.0,22,14,22
Harrison Jones,0.0455,0.0,0.0909,22,14,22
Harvest Golem,0.0,0.1429,0.0909,22,14,22
Haunted Creeper,0.1364,0.0,0.0455,22,14,22
Houndmaster,0.1364,0.0,0.0,22,14,22
Hunter's Mark,0.5909,0.0,0.0,22,14,22
Ice Barrier,0.0,0.5714,0.0,22,14,22
Ice Block,0.0,0.6429,0.0,22,14,22
Imp Master,0.0,0.0,0.0455,22,14,22
Injured Blademaster,0.0455,0.0,0.0,22,14,22
Inner Rage,0.0,0.0,0.0909,22,14,22
Ironbeak Owl,0.0455,0.0,0.0,22,14,22
Ironfur Grizzly,0.0,0.0,0.2273,22,14,22
Jungle Panther,0.0455,0.0714,0.0,22,14,22
Kel'Thuzad,0.0909,0.0,0.0,22,14,22
Kill Command,0.9091,0.0,0.0,22,14,22
Kirin Tor Mage,0.0,0.6429,0.0,22,14,22
Knife Juggler,0.2273,0.2143,0.2727,22,14,22
Kobold Geomancer,0.1364,0.2143,0.2273,22,14,22
Kor'kron Elite,0.0,0.0,0.1818,22,14,22
Leeroy Jenkins,0.2273,0.2143,0.4545,22,14,22
Leper Gnome,0.2273,0.0,0.1364,22,14,22
Lightwarden,0.0,0.5,0.1818,22,14,22
Loatheb,0.0,0.0,0.2727,22,14,22
Loot Hoarder,0.0,0.0,0.0455,22,14,22
Lord of the Arena,0.0,0.0714,0.0,22,14,22
Mad Bomber,0.0,0.2143,0.0,22,14,22
Mad Scientist,0.4091,0.0,0.0455,22,14,22
Maexxna,0.0,0.0714,0.1818,22,14,22
Mana Addict,0.0,0.2143,0.0,22,14,22
Mana Wyrm,0.0,1.0,0.0,22,14,22
Master Swordsmith,0.0455,0.0,0.0,22,14,22
Millhouse Manastorm,0.0,0.0,0.3636,22,14,22
Mirror Entity,0.0,0.2143,0.0,22,14,22
Mirror Image,0.0,0.2143,0.0,22,14,22
Misdirection,0.7727,0.0,0.0,22,14,22
Mogu'shan Warden,0.0455,0.0,0.0,22,14,22
Molten Giant,0.1364,0.0714,0.0,22,14,22
Mortal Strike,0.0,0.0,0.1818,22,14,22
Mountain Giant,0.0455,0.0,0.0,22,14,22
Multi-Shot,0.1818,0.0,0.0,22,14,22
Murloc Raider,0.0,0.0,0.0909,22,14,22
Murloc Tidecaller,0.0,0.0,0.0909,22,14,22
Nat Pagle,0.0,0.2143,0.0,22,14,22
Nerub'ar Weblord,0.2273,0.0,0.0,22,14,22
Nerubian Egg,0.0,0.0714,0.0909,22,14,22
Nightblade,0.0,0.1429,0.0,22,14,22
Nozdormu,0.0,0.0714,0.0,22,14,22
Oasis Snapjaw,0.0,0.0,0.0455,22,14,22
Ogre Magi,0.0909,0.0,0.0,22,14,22
Pint-Sized Summoner,0.0455,0.0,0.0,22,14,22
Polymorph,0.0,0.8571,0.0,22,14,22
Priestess of Elune,0.0909,0.0,0.0,22,14,22
Pyroblast,0.0,0.6429,0.0,22,14,22
Questing Adventurer,0.1364,0.0,0.0,22,14,22
Raging Worgen,0.0909,0.2143,0.0,22,14,22
Ragnaros the Firelord,0.0,0.6429,0.2727,22,14,22
Raid Leader,0.0,0.0,0.0455,22,14,22
Ravenholdt Assassin,0.0455,0.0,0.0455,22,14,22
Razorfen Hunter,0.0,0.0,0.1818,22,14,22
River Crocolisk,0.0,0.0,0.0455,22,14,22
Savannah Highmane,0.2273,0.0,0.0,22,14,22
Scavenging Hyena,0.5,0.0,0.0,22,14,22
Secretkeeper,0.0,0.0,0.0455,22,14,22
Sen'jin Shieldmasta,0.0455,0.2143,0.0909,22,14,22
Shade of Naxxramas,0.0,0.0,0.0455,22,14,22
Shattered Sun Cleric,0.0,0.0,0.1364,22,14,22
Shield Block,0.0,0.0,0.8636,22,14,22
Shield Slam,0.0,0.0,0.4545,22,14,22
Shieldbearer,0.0455,0.0,0.0,22,14,22
Silver Hand Knight,0.0,0.1429,0.0455,22,14,22
Silverback Patriarch,0.0909,0.0,0.0,22,14,22
Silvermoon Guardian,0.0,0.0,0.0455,22,14,22
Slam,0.0,0.0,0.9091,22,14,22
Sludge Belcher,0.5455,0.6429,0.1364,22,14,22
Snake Trap,0.0909,0.0,0.0,22,14,22
Snipe,0.6364,0.0,0.0,22,14,22
Southsea Deckhand,0.0455,0.0,0.0455,22,14,22
Spectral Knight,0.0,0.0,0.1818,22,14,22
Spiteful Smith,0.0455,0.0,0.0,22,14,22
Stalagg,0.0,0.0,0.0909,22,14,22
Stampeding Kodo,0.0,0.2143,0.0,22,14,22
Starving Buzzard,1.0,0.0,0.0,22,14,22
Stonetusk Boar,0.1364,0.0714,0.0,22,14,22
Stormwind Champion,0.0,0.0,0.0455,22,14,22
Stormwind Knight,0.1364,0.0,0.0455,22,14,22
Stranglethorn Tiger,0.1364,0.0,0.0909,22,14,22
Sunfury Protector,0.0455,0.0,0.0455,22,14,22
Sunwalker,0.1364,0.4286,0.0,22,14,22
Sylvanas Windrunner,0.2273,0.1429,0.3182,22,14,22
The Black Knight,0.0,0.6429,0.6364,22,14,22
Thrallmar Farseer,0.0,0.0,0.0909,22,14,22
Timber Wolf,0.4545,0.0,0.0,22,14,22
Tracking,0.3636,0.0,0.0,22,14,22
Tundra Rhino,0.0455,0.0,0.0,22,14,22
Twilight Drake,0.0909,0.0,0.0455,22,14,22
Unleash the Hounds,0.9545,0.0,0.0,22,14,22
Unstable Ghoul,0.0,0.0,0.0909,22,14,22
Venture Co. Mercenary,0.0,0.1429,0.0455,22,14,22
Violet Teacher,0.0909,0.0,0.0455,22,14,22
Voodoo Doctor,0.0,0.0,0.0909,22,14,22
Warsong Commander,0.0,0.0,0.0909,22,14,22
Water Elemental,0.0,0.7857,0.0,22,14,22
Webspinner,0.2727,0.0,0.0,22,14,22
Whirlwind,0.0,0.0,0.6364,22,14,22
Wild Pyromancer,0.0,0.6429,0.6364,22,14,22
Windfury Harpy,0.0,0.0,0.0455,22,14,22
Wisp,0.0,0.0,0.0909,22,14,22
Wolfrider,0.0,0.0714,0.0909,22,14,22
Worgen Infiltrator,0.0,0.2143,0.0,22,14,22
Young Dragonhawk,0.1364,0.0,0.0,22,14,22
Young Priestess,0.1364,0.6429,0.0,22,14,22
Ysera,0.1818,0.0,0.0,22,14,22
Zombie Chow,0.2727,0.0,0.0909,22,14,22
