card,hunter_share,mage_share,warrior_share,hunter_n_elites,mage_n_elites,warrior_n_elites
Abomination,0.1111,0.0,0.2,18,14,25
Abusive Sergeant,0.1667,0.0,0.0,18,14,25
Acidic Swamp Ooze,0.0,0.1429,0.0,18,14,25
Acolyte of Pain,0.0,0.2857,0.52,18,14,25
Alexstrasza,0.0,0.0714,0.2,18,14,25
Amani Berserker,0.0,1.0,0.36,18,14,25
Ancient Brewmaster,0.0,0.1429,0.0,18,14,25
Ancient Mage,0.0556,0.0,0.0,18,14,25
Animal Companion,1.0,0.0,0.0,18,14,25
Arathi Weaponsmith,0.0,0.0,0.36,18,14,25
Arcane Explosion,0.0,0.0714,0.0,18,14,25
Arcane Golem,0.0,0.2143,0.0,18,14,25
Arcane Missiles,0.0,0.9286,0.0,18,14,25
Arcane Shot,0.1667,0.0,0.0,18,14,25
Arcanite Reaper,0.0,0.0,0.16,18,14,25
Archmage,0.0,0.0,0.04,18,14,25
Argent Commander,0.0,0.1429,0.24,18,14,25
Argent Squire,0.0,0.2143,0.16,18,14,25
Armorsmith,0.0,0.0,0.72,18,14,25
Azure Drake,0.0,0.5714,0.44,18,14,25
Baron Geddon,0.0556,0.3571,0.0,18,14,25
Big Game Hunter,0.1111,0.0,0.24,18,14,25
Bloodfen Raptor,0.1111,0.0,0.0,18,14,25
Bloodmage Thalnos,0.0,0.1429,0.0,18,14,25
Bloodsail Raider,0.1111,0.0,0.2,18,14,25
Booty Bay Bodyguard,0.0,0.0714,0.0,18,14,25
Boulderfist Ogre,0.0,0.0,0.16,18,14,25
Brawl,0.0,0.0,0.44,18,14,25
Cairne Bloodhoof,0.0556,0.0,0.32,18,14,25
Cleave,0.0,0.0,0.4,18,14,25
Coldlight Oracle,0.0,0.0,0.2,18,14,25
Coldlight Seer,0.0,0.0,0.04,18,14,25
Commanding Shout,0.0,0.0,0.08,18,14,25
Core Hound,0.0556,0.2143,0.04,18,14,25
Cruel Taskmaster,0.0,0.0,1.0,18,14,25
Dalaran Mage,0.0,0.0,0.28,18,14,25
Dark Iron Dwarf,0.2222,0.0,0.0,18,14,25
Deadly Shot,0.6111,0.0,0.0,18,14,25
Deathlord,0.0,0.0,0.08,18,14,25
Demolisher,0.0,0.0,0.16,18,14,25
Dire Wolf Alpha,0.3889,0.1429,0.0,18,14,25
Doomsayer,0.0,0.0,0.04,18,14,25
Dragonling Mechanic,0.0556,0.0,0.0,18,14,25
Eaglehorn Bow,0.7222,0.0,0.0,18,14,25
Earthen Ring Farseer,0.0,0.0,0.12,18,14,25
Echoing Ooze,0.1111,0.0,0.0,18,14,25
Elite Tauren Chieftain,0.1111,0.0,0.04,18,14,25
Elven Archer,0.0,0.1429,0.0,18,14,25
Emperor Cobra,0.0,0.0714,0.0,18,14,25
Execute,0.0,0.0,0.92,18,14,25
Explosive Trap,0.6111,0.0,0.0,18,14,25
Faceless Manipulator,0.0,0.1429,0.0,18,14,25
Faerie Dragon,0.0,0.2857,0.04,18,14,25
Fen Creeper,0.0,0.0,0.04,18,14,25
Feugen,0.0,0.7857,0.12,18,14,25
Fiery War Axe,0.0,0.0,0.76,18,14,25
Fireball,0.0,0.8571,0.0,18,14,25
Flare,0.5,0.0,0.0,18,14,25
Flesheating Ghoul,0.1667,0.1429,0.16,18,14,25
Freezing Trap,0.7222,0.0,0.0,18,14,25
Frost Elemental,0.0556,0.0,0.0,18,14,25
Frostbolt,0.0,1.0,0.0,18,14,25
Frostwolf Warlord,0.0,0.1429,0.0,18,14,25
Frothing Berserker,0.0,0.0,0.72,18,14,25
Gadgetzan Auctioneer,0.3333,0.0,0.0,18,14,25
Goldshire Footman,0.2222,0.0,0.12,18,14,25
Gorehowl,0.0,0.0,0.24,18,14,25
Grimscale Oracle,0.0556,0.0,0.0,18,14,25
Grommash Hellscream,0.0,0.0,0.56,18,14,25
Harrison Jones,0.0,0.0,0.12,18,14,25
Harvest Golem,0.0556,0.0,0.16,18,14,25
Haunted Creeper,0.2778,0.0,0.0,18,14,25
Houndmaster,0.1111,0.0,0.0,18,14,25
Hungry Crab,0.0,0.0,0.08,18,14,25
Hunter's Mark,0.5556,0.0,0.0,18,14,25
Ice Barrier,0.0,0.6429,0.0,18,14,25
Ice Block,0.0,0.7857,0.0,18,14,25
Injured Blademaster,0.0556,0.0,0.0,18,14,25
Inner Rage,0.0,0.0,0.16,18,14,25
Ironbeak Owl,0.0556,0.0,0.0,18,14,25
Ironfur Grizzly,0.0,0.0,0.12,18,14,25
Jungle Panther,0.1111,0.2857,0.0,18,14,25
Kel'Thuzad,0.0,0.0,0.16,18,14,25
Kill Command,0.8333,0.0,0.0,18,14,25
Kirin Tor Mage,0.0,0.7857,0.0,18,14,25
Knife Juggler,0.1667,0.2143,0.12,18,14,25
Kobold Geomancer,0.0,0.0714,0.16,18,14,25
Kor'kron Elite,0.0,0.0,0.2,18,14,25
Leeroy Jenkins,0.2778,0.2857,0.16,18,14,25
Leper Gnome,0.3333,0.0,0.2,18,14,25
Lightwarden,0.0,0.4286,0.32,18,14,25
Loatheb,0.0,0.0,0.24,18,14,25
Loot Hoarder,0.0,0.0,0.04,18,14,25
Lord of the Arena,0.0,0.0,0.04,18,14,25
Mad Bomber,0.0,0.1429,0.0,18,14,25
Mad Scientist,0.2222,0.0,0.04,18,14,25
Maexxna,0.0556,0.0,0.08,18,14,25
Mana Addict,0.0,0.1429,0.04,18,14,25
Mana Wyrm,0.0,1.0,0.0,18,14,25
Master Swordsmith,0.0556,0.0,0.0,18,14,25
Millhouse Manastorm,0.0,0.0,0.24,18,14,25
Mind Control Tech,0.0,0.0714,0.04,18,14,25
Mirror Entity,0.0,0.2143,0.0,18,14,25
Mirror Image,0.0,0.2143,0.0,18,14,25
Misdirection,0.6111,0.0,0.0,18,14,25
Molten Giant,0.3333,0.1429,0.0,18,14,25
Mortal Strike,0.0,0.0,0.12,18,14,25
Mountain Giant,0.0556,0.0,0.0,18,14,25
Multi-Shot,0.2778,0.0,0.0,18,14,25
Murloc Raider,0.0,0.0,0.08,18,14,25
Murloc Tidecaller,0.0,0.0,0.04,18,14,25
Murloc Tidehunter,0.0556,0.0,0.0,18,14,25
Nat Pagle,0.0,0.2143,0.0,18,14,25
Nerub'ar Weblord,0.1111,0.0,0.0,18,14,25
Nerubian Egg,0.0,0.0,0.12,18,14,25
Nozdormu,0.0,0.1429,0.0,18,14,25
Oasis Snapjaw,0.0,0.2143,0.0,18,14,25
Ogre Magi,0.1667,0.1429,0.0,18,14,25
Pint-Sized Summoner,0.1667,0.0,0.0,18,14,25
Polymorph,0.0,0.6429,0.0,18,14,25
Priestess of Elune,0.1111,0.0,0.04,18,14,25
Pyroblast,0.0,0.7143,0.0,18,14,25
Questing Adventurer,0.1111,0.0,0.0,18,14,25
Raging Worgen,0.1111,0.2857,0.0,18,14,25
Ragnaros the Firelord,0.0,0.7857,0.24,18,14,25
Ravenholdt Assassin,0.1111,0.1429,0.0,18,14,25
Razorfen Hunter,0.2778,0.0,0.24,18,14,25
Reckless Rocketeer,0.0,0.0,0.04,18,14,25
Savannah Highmane,0.4444,0.0,0.0,18,14,25
Scavenging Hyena,0.4444,0.0,0.0,18,14,25
Sea Giant,0.1111,0.0,0.0,18,14,25
