card,hunter_share,mage_share,warrior_share,hunter_n_elites,mage_n_elites,warrior_n_elites
Abusive Sergeant,0.1111,0.1333,0.0,9,15,22
Acidic Swamp Ooze,0.0,0.1333,0.0,9,15,22
Acolyte of Pain,0.2222,0.3333,0.9545,9,15,22
Alexstrasza,0.0,0.0,0.2727,9,15,22
Amani Berserker,0.0,0.4667,0.3636,9,15,22
Ancient Brewmaster,0.0,0.0,0.0455,9,15,22
Ancient Watcher,0.0,0.0667,0.0,9,15,22
Animal Companion,1.0,0.0,0.0,9,15,22
Arathi Weaponsmith,0.0,0.0,0.3182,9,15,22
Arcane Explosion,0.0,0.2,0.0,9,15,22
Arcane Golem,0.0,0.1333,0.0,9,15,22
Arcane Intellect,0.0,0.5333,0.0,9,15,22
Arcane Missiles,0.0,0.9333,0.0,9,15,22
Arcane Shot,0.4444,0.0,0.0,9,15,22
Arcanite Reaper,0.0,0.0,0.3182,9,15,22
Archmage,0.0,0.0667,0.0455,9,15,22
Archmage Antonidas,0.0,0.2667,0.0,9,15,22
Argent Commander,0.0,0.5333,0.3182,9,15,22
Argent Squire,0.0,0.0667,0.0,9,15,22
Armorsmith,0.0,0.0,0.6818,9,15,22
Azure Drake,0.0,0.8667,0.3182,9,15,22
Baron Geddon,0.1111,0.0,0.3636,9,15,22
Battle Rage,0.0,0.0,0.1364,9,15,22
Big Game Hunter,0.1111,0.0667,0.3182,9,15,22
Bloodmage Thalnos,0.0,0.3333,0.0455,9,15,22
Bloodsail Raider,0.0,0.0,0.2727,9,15,22
Boulderfist Ogre,0.0,0.0,0.0455,9,15,22
Brawl,0.0,0.0,0.1818,9,15,22
Cairne Bloodhoof,0.0,0.0,0.0909,9,15,22
Charge,0.0,0.0,0.0455,9,15,22
Chillwind Yeti,0.0,0.2667,0.0455,9,15,22
Cleave,0.0,0.0,0.7273,9,15,22
Coldlight Seer,0.0,0.0,0.1364,9,15,22
Commanding Shout,0.0,0.0,0.1364,9,15,22
Cone of Cold,0.0,0.0667,0.0,9,15,22
Core Hound,0.0,0.0,0.0455,9,15,22
Counterspell,0.0,0.0667,0.0,9,15,22
Cruel Taskmaster,0.0,0.0,0.9091,9,15,22
Dalaran Mage,0.0,0.0667,0.0,9,15,22
Deadly Shot,0.7778,0.0,0.0,9,15,22
Death's Bite,0.0,0.0,0.0455,9,15,22
Dire Wolf Alpha,1.0,0.1333,0.0,9,15,22
Doomsayer,0.0,0.0667,0.0,9,15,22
Dread Corsair,0.0,0.0,0.1364,9,15,22
Eaglehorn Bow,0.3333,0.0,0.0,9,15,22
Earthen Ring Farseer,0.0,0.2,0.0455,9,15,22
Echoing Ooze,0.0,0.0,0.0909,9,15,22
Elite Tauren Chieftain,0.1111,0.0,0.0455,9,15,22
Execute,0.0,0.0,1.0,9,15,22
Explosive Shot,0.4444,0.0,0.0,9,15,22
Explosive Trap,0.8889,0.0,0.0,9,15,22
Faceless Manipulator,0.0,0.0,0.1818,9,15,22
Faerie Dragon,0.0,0.1333,0.0,9,15,22
Fen Creeper,0.0,0.0,0.1818,9,15,22
Fiery War Axe,0.0,0.0,1.0,9,15,22
Fireball,0.0,1.0,0.0,9,15,22
Flamestrike,0.0,0.6667,0.0,9,15,22
Flare,0.4444,0.0,0.0,9,15,22
Frost Elemental,0.0,0.0667,0.0,9,15,22
Frost Nova,0.0,0.0667,0.0,9,15,22
Frostbolt,0.0,1.0,0.0,9,15,22
Frothing Berserker,0.0,0.0,0.5,9,15,22
Gadgetzan Auctioneer,0.0,0.2667,0.1818,9,15,22
Goldshire Footman,0.1111,0.0,0.0,9,15,22
Gorehowl,0.0,0.0,0.2727,9,15,22
Grommash Hellscream,0.0,0.0,0.7273,9,15,22
Gurubashi Berserker,0.0,0.2,0.0,9,15,22
Harvest Golem,0.0,0.6667,0.0455,9,15,22
Haunted Creeper,0.4444,0.0,0.0,9,15,22
Houndmaster,1.0,0.0,0.0,9,15,22
Hungry Crab,0.0,0.0,0.1364,9,15,22
Hunter's Mark,0.3333,0.0,0.0,9,15,22
Ice Block,0.0,0.2,0.0,9,15,22
Ice Lance,0.0,0.2667,0.0,9,15,22
Imp Master,0.0,0.0,0.0455,9,15,22
Injured Blademaster,0.2222,0.0,0.0,9,15,22
Inner Rage,0.0,0.0,0.2727,9,15,22
Ironbeak Owl,0.7778,0.0,0.0,9,15,22
Ironfur Grizzly,0.4444,0.0,0.0,9,15,22
Kill Command,1.0,0.0,0.0,9,15,22
Kirin Tor Mage,0.0,0.0667,0.0,9,15,22
Knife Juggler,0.0,0.4,0.0,9,15,22
Kobold Geomancer,0.0,0.2,0.0,9,15,22
Kor'kron Elite,0.0,0.0,0.3182,9,15,22
Leeroy Jenkins,0.4444,0.3333,0.3182,9,15,22
Leper Gnome,0.5556,0.3333,0.1364,9,15,22
Lightwarden,0.0,0.0667,0.0455,9,15,22
Loot Hoarder,0.0,0.2,0.0,9,15,22
Lord of the Arena,0.1111,0.0,0.1818,9,15,22
Mana Addict,0.0,0.0667,0.0,9,15,22
Mana Wyrm,0.0,1.0,0.0,9,15,22
Millhouse Manastorm,0.0,0.0,0.1818,9,15,22
Mind Control Tech,0.2222,0.2667,0.0,9,15,22
Mirror Entity,0.0,0.1333,0.0,9,15,22
Mirror Image,0.0,0.6667,0.0,9,15,22
Mogu'shan Warden,0.2222,0.0,0.0,9,15,22
Molten Giant,0.0,0.0,0.0455,9,15,22
Murloc Warleader,0.0,0.0,0.0455,9,15,22
Nightblade,0.0,0.0,0.0455,9,15,22
Oasis Snapjaw,0.4444,0.0,0.0,9,15,22
Polymorph,0.0,0.6667,0.0,9,15,22
Pyroblast,0.0,0.4,0.0,9,15,22
Raging Worgen,0.0,0.1333,0.2727,9,15,22
Ragnaros the Firelord,0.0,0.0667,0.2273,9,15,22
Raid Leader,0.0,0.2667,0.0,9,15,22
Rampage,0.0,0.0,0.0455,9,15,22
Razorfen Hunter,0.0,0.0,0.0455,9,15,22
River Crocolisk,0.8889,0.0,0.0,9,15,22
Savannah Highmane,0.8889,0.0,0.0,9,15,22
Scavenging Hyena,0.2222,0.0,0.0,9,15,22
Secretkeeper,0.2222,0.1333,0.0,9,15,22
Sen'jin Shieldmasta,0.0,0.0667,0.1818,9,15,22
Shade of Naxxramas,0.0,0.0,0.0455,9,15,22
Shield Block,0.0,0.0,0.7273,9,15,22
Shield Slam,0.0,0.0,0.6818,9,15,22
Silverback Patriarch,0.0,0.0,0.1364,9,15,22
Slam,0.0,0.0,0.7273,9,15,22
Sludge Belcher,0.0,0.3333,0.0,9,15,22
Snake Trap,0.1111,0.0,0.0,9,15,22
Sorcerer's Apprentice,0.0,0.6,0.0,9,15,22
Spellbreaker,0.0,0.0,0.1364,9,15,22
Spiteful Smith,0.0,0.0,0.1364,9,15,22
Stampeding Kodo,0.4444,0.0,0.0,9,15,22
Starving Buzzard,1.0,0.0,0.0,9,15,22
Stonetusk Boar,0.5556,0.0,0.0,9,15,22
Stormpike Commando,0.0,0.0667,0.0,9,15,22
Stranglethorn Tiger,0.3333,0.0,0.0,9,15,22
Sunfury Protector,0.0,0.2667,0.3182,9,15,22
Sunwalker,0.0,0.2,0.0,9,15,22
Sylvanas Windrunner,0.0,0.2667,0.0,9,15,22
The Black Knight,0.1111,0.0,0.5455,9,15,22
Timber Wolf,1.0,0.0,0.0,9,15,22
Tinkmaster Overspark,0.0,0.0,0.0909,9,15,22
Tracking,0.5556,0.0,0.0,9,15,22
Tundra Rhino,1.0,0.0,0.0,9,15,22
Undertaker,0.0,0.0,0.0455,9,15,22
Unleash the Hounds,0.5556,0.0,0.0,9,15,22
Unstable Ghoul,0.0,0.0,0.0455,9,15,22
Venture Co. Mercenary,0.0,0.2,0.0,9,15,22
Violet Teacher,0.0,0.2667,0.0,9,15,22
Voodoo Doctor,0.1111,0.0,0.0455,9,15,22
War Golem,0.0,0.0,0.0455,9,15,22
Warsong Commander,0.0,0.0,0.2273,9,15,22
Water Elemental,0.0,0.8667,0.0,9,15,22
Webspinner,0.3333,0.0,0.0,9,15,22
Whirlwind,0.0,0.0,0.8636,9,15,22
Wild Pyromancer,0.0,0.0667,0.5,9,15,22
Wolfrider,0.1111,0.0,0.0,9,15,22
Worgen Infiltrator,0.0,0.1333,0.1818,9,15,22
Young Dragonhawk,0.1111,0.0,0.0,9,15,22
Ysera,0.0,0.2667,0.2273,9,15,22
