card,hunter_share,mage_share,warrior_share,hunter_n_elites,mage_n_elites,warrior_n_elites
Abomination,0.0,0.0417,0.0,7,24,21
Abusive Sergeant,0.0,0.0417,0.0952,7,24,21
Acolyte of Pain,0.4286,0.375,0.9048,7,24,21
Alarm-o-Bot,0.0,0.0417,0.0,7,24,21
Alexstrasza,0.0,0.5417,0.381,7,24,21
Amani Berserker,0.0,0.1667,0.0952,7,24,21
Ancient Mage,0.0,0.0,0.0476,7,24,21
Ancient Watcher,0.0,0.0417,0.0,7,24,21
Animal Companion,1.0,0.0,0.0,7,24,21
Arathi Weaponsmith,0.0,0.0,0.0476,7,24,21
Arcane Explosion,0.0,0.0833,0.0,7,24,21
Arcane Golem,0.1429,0.0,0.0,7,24,21
Arcane Intellect,0.0,0.7917,0.0,7,24,21
Arcane Missiles,0.0,0.1667,0.0,7,24,21
Arcane Shot,0.4286,0.0,0.0,7,24,21
Arcanite Reaper,0.0,0.0,0.0952,7,24,21
Archmage,0.0,0.0,0.0476,7,24,21
Archmage Antonidas,0.0,0.1667,0.0,7,24,21
Argent Commander,0.0,0.0,0.1429,7,24,21
Armorsmith,0.0,0.0,0.8095,7,24,21
Azure Drake,0.0,0.625,0.0952,7,24,21
Baron Geddon,0.4286,0.0,0.0,7,24,21
Battle Rage,0.0,0.0,0.0952,7,24,21
Big Game Hunter,0.0,0.0833,0.0,7,24,21
Blizzard,0.0,0.5,0.0,7,24,21
Bloodfen Raptor,0.0,0.0,0.1429,7,24,21
Bloodmage Thalnos,0.0,0.4167,0.0,7,24,21
Bloodsail Corsair,0.0,0.0833,0.0,7,24,21
Bloodsail Raider,0.0,0.0,0.1429,7,24,21
Booty Bay Bodyguard,0.1429,0.0,0.0,7,24,21
Boulderfist Ogre,0.0,0.125,0.0,7,24,21
Brawl,0.0,0.0,0.4762,7,24,21
Cairne Bloodhoof,0.0,0.0,0.7143,7,24,21
Charge,0.0,0.0,0.0476,7,24,21
Chillwind Yeti,0.0,0.0833,0.0952,7,24,21
Cleave,0.0,0.0,0.1429,7,24,21
Cone of Cold,0.0,0.0833,0.0,7,24,21
Counterspell,0.0,0.25,0.0,7,24,21
Crazed Alchemist,0.0,0.0,0.0476,7,24,21
Cruel Taskmaster,0.0,0.0,0.9048,7,24,21
Cult Master,0.0,0.0,0.0476,7,24,21
Dalaran Mage,0.0,0.1667,0.0,7,24,21
Dark Iron Dwarf,0.1429,0.0,0.0,7,24,21
