card,hunter_share,mage_share,warrior_share,hunter_n_elites,mage_n_elites,warrior_n_elites
Abomination,0.0833,0.0588,0.0,12,34,25
Abusive Sergeant,0.0,0.0,0.08,12,34,25
Acidic Swamp Ooze,0.0,0.0882,0.12,12,34,25
Acolyte of Pain,0.0,0.0,0.76,12,34,25
Alexstrasza,0.0,0.2353,0.32,12,34,25
Amani Berserker,0.0,0.1471,0.2,12,34,25
Ancient Brewmaster,0.0,0.0,0.04,12,34,25
Ancient Watcher,0.0,0.0294,0.0,12,34,25
Animal Companion,1.0,0.0,0.0,12,34,25
Arcane Golem,0.0,0.0294,0.04,12,34,25
Arcane Intellect,0.0,0.6765,0.0,12,34,25
Arcane Missiles,0.0,0.7059,0.0,12,34,25
Arcanite Reaper,0.0,0.0,0.2,12,34,25
Archmage,0.0,0.0294,0.0,12,34,25
Archmage Antonidas,0.0,0.3235,0.0,12,34,25
Argent Commander,0.0,0.0,0.24,12,34,25
Argent Squire,0.0,0.0,0.04,12,34,25
Armorsmith,0.0,0.0,0.64,12,34,25
Azure Drake,0.0,0.2647,0.2,12,34,25
Baron Geddon,0.0,0.0,0.08,12,34,25
Baron Rivendare,0.0833,0.0,0.0,12,34,25
Battle Rage,0.0,0.0,0.08,12,34,25
Big Game Hunter,0.0,0.0,0.12,12,34,25
Blizzard,0.0,0.4706,0.0,12,34,25
Blood Knight,0.0,0.0,0.12,12,34,25
Bloodfen Raptor,0.0,0.0588,0.0,12,34,25
Bloodmage Thalnos,0.0833,0.3824,0.0,12,34,25
Bloodsail Corsair,0.0,0.0,0.04,12,34,25
Bloodsail Raider,0.0,0.0,0.08,12,34,25
Bluegill Warrior,0.0,0.0,0.24,12,34,25
Brawl,0.0,0.0,0.52,12,34,25
Cairne Bloodhoof,0.0,0.1765,0.36,12,34,25
Cleave,0.0,0.0,0.72,12,34,25
Coldlight Oracle,0.0,0.2353,0.0,12,34,25
Cone of Cold,0.0,0.5,0.0,12,34,25
Counterspell,0.0,0.5,0.0,12,34,25
Cruel Taskmaster,0.0,0.0,0.64,12,34,25
Dalaran Mage,0.0,0.0588,0.08,12,34,25
Dark Iron Dwarf,0.0,0.0294,0.08,12,34,25
Deadly Shot,0.5,0.0,0.0,12,34,25
Death's Bite,0.0,0.0,0.56,12,34,25
Deathlord,0.0,0.2353,0.0,12,34,25
Defender of Argus,0.25,0.0294,0.0,12,34,25
Dire Wolf Alpha,0.25,0.0,0.0,12,34,25
Doomsayer,0.0,0.0588,0.0,12,34,25
Dragonling Mechanic,0.0,0.0,0.24,12,34,25
Duplicate,0.0,0.0882,0.0,12,34,25
Eaglehorn Bow,0.75,0.0,0.0,12,34,25
Earthen Ring Farseer,0.0,0.0882,0.2,12,34,25
Elite Tauren Chieftain,0.0,0.0588,0.0,12,34,25
Elven Archer,0.0,0.0,0.2,12,34,25
Ethereal Arcanist,0.0,0.0294,0.0,12,34,25
Execute,0.0,0.0,0.92,12,34,25
Explosive Trap,0.6667,0.0,0.0,12,34,25
Faceless Manipulator,0.25,0.0,0.12,12,34,25
Faerie Dragon,0.0,0.1765,0.04,12,34,25
Fen Creeper,0.0,0.0294,0.2,12,34,25
Feugen,0.1667,0.2353,0.04,12,34,25
Fiery War Axe,0.0,0.0,0.76,12,34,25
Fireball,0.0,0.9412,0.0,12,34,25
Flamestrike,0.0,0.5882,0.0,12,34,25
Flare,0.75,0.0,0.0,12,34,25
Freezing Trap,0.5,0.0,0.0,12,34,25
Frost Elemental,0.0,0.0294,0.0,12,34,25
Frost Nova,0.0,0.2647,0.0,12,34,25
Frostbolt,0.0,1.0,0.0,12,34,25
Frostwolf Grunt,0.0,0.0294,0.0,12,34,25
Frothing Berserker,0.0,0.0,0.32,12,34,25
Gadgetzan Auctioneer,0.0,0.2353,0.04,12,34,25
Goldshire Footman,0.0,0.0588,0.0,12,34,25
Gorehowl,0.0,0.0,0.12,12,34,25
Grommash Hellscream,0.0,0.0,0.68,12,34,25
Gurubashi Berserker,0.0,0.0588,0.04,12,34,25
Harrison Jones,0.0,0.0294,0.48,12,34,25
Harvest Golem,0.25,0.2059,0.12,12,34,25
Haunted Creeper,0.75,0.0294,0.0,12,34,25
Heroic Strike,0.0,0.0,0.08,12,34,25
Houndmaster,0.75,0.0,0.0,12,34,25
Hunter's Mark,0.75,0.0,0.0,12,34,25
Ice Barrier,0.0,0.6765,0.0,12,34,25
Ice Block,0.0,0.4118,0.0,12,34,25
Ice Lance,0.0,0.7353,0.0,12,34,25
Injured Blademaster,0.0833,0.0,0.0,12,34,25
Inner Rage,0.0,0.0,0.08,12,34,25
Ironbeak Owl,0.25,0.0,0.24,12,34,25
Ironfur Grizzly,0.0833,0.0,0.0,12,34,25
Jungle Panther,0.0833,0.0,0.04,12,34,25
Kel'Thuzad,0.0,0.0294,0.08,12,34,25
Kill Command,0.75,0.0,0.0,12,34,25
Kirin Tor Mage,0.0,0.0882,0.0,12,34,25
Knife Juggler,0.4167,0.2353,0.32,12,34,25
Kobold Geomancer,0.0,0.0294,0.0,12,34,25
Kor'kron Elite,0.0,0.0,0.32,12,34,25
Leeroy Jenkins,0.3333,0.0294,0.0,12,34,25
Leper Gnome,0.25,0.2353,0.0,12,34,25
Loatheb,0.3333,0.0,0.12,12,34,25
Loot Hoarder,0.1667,0.2353,0.0,12,34,25
Lord of the Arena,0.0,0.0,0.16,12,34,25
Mad Bomber,0.25,0.0,0.0,12,34,25
Mad Scientist,0.6667,0.2941,0.0,12,34,25
Magma Rager,0.0,0.0294,0.0,12,34,25
Mana Addict,0.0,0.0294,0.08,12,34,25
Mana Wraith,0.0,0.0294,0.0,12,34,25
Mana Wyrm,0.0,0.4412,0.0,12,34,25
Master Swordsmith,0.0,0.0,0.04,12,34,25
Mind Control Tech,0.25,0.0294,0.0,12,34,25
Mirror Entity,0.0,0.5294,0.0,12,34,25
Mirror Image,0.0,0.4118,0.0,12,34,25
Mogu'shan Warden,0.0,0.0,0.12,12,34,25
Molten Giant,0.0,0.4118,0.08,12,34,25
Mortal Strike,0.0,0.0,0.08,12,34,25
Mountain Giant,0.0,0.1765,0.0,12,34,25
Murloc Tidecaller,0.0,0.0,0.04,12,34,25
Murloc Tidehunter,0.0,0.0588,0.08,12,34,25
Nat Pagle,0.0,0.1471,0.0,12,34,25
Nerubian Egg,0.0,0.1176,0.0,12,34,25
Nightblade,0.0,0.0294,0.0,12,34,25
Novice Engineer,0.0,0.0882,0.24,12,34,25
Oasis Snapjaw,0.0,0.0294,0.0,12,34,25
Polymorph,0.0,0.5294,0.0,12,34,25
Priestess of Elune,0.0,0.0,0.24,12,34,25
Pyroblast,0.0,0.3824,0.0,12,34,25
Questing Adventurer,0.25,0.0,0.0,12,34,25
Raging Worgen,0.0,0.0,0.08,12,34,25
Ragnaros the Firelord,0.0833,0.0294,0.4,12,34,25
Razorfen Hunter,0.0,0.0,0.16,12,34,25
River Crocolisk,0.25,0.0,0.0,12,34,25
Savannah Highmane,0.5833,0.0,0.0,12,34,25
Scarlet Crusader,0.0,0.0588,0.0,12,34,25
Scavenging Hyena,0.5833,0.0,0.0,12,34,25
Sea Giant,0.0,0.0,0.2,12,34,25
Sen'jin Shieldmasta,0.1667,0.0,0.0,12,34,25
Shield Block,0.0,0.0,0.8,12,34,25
Shield Slam,0.0,0.0,0.56,12,34,25
Shieldbearer,0.0,0.0294,0.0,12,34,25
Silver Hand Knight,0.25,0.0,0.0,12,34,25
Silvermoon Guardian,0.0,0.0,0.12,12,34,25
Slam,0.0,0.0,0.6,12,34,25
Sludge Belcher,0.0,0.3824,0.44,12,34,25
Snake Trap,0.25,0.0,0.0,12,34,25
Sorcerer's Apprentice,0.0,0.2647,0.0,12,34,25
