card,hunter_share,mage_share,warrior_share,hunter_n_elites,mage_n_elites,warrior_n_elites
Abomination,0.0,0.0968,0.0,9,31,21
Abusive Sergeant,0.1111,0.2903,0.0476,9,31,21
Acolyte of Pain,0.0,0.2258,0.7143,9,31,21
Alexstrasza,0.0,0.2903,0.1905,9,31,21
Amani Berserker,0.0,0.3871,0.0476,9,31,21
Ancient Mage,0.0,0.0645,0.0,9,31,21
Angry Chicken,0.0,0.0323,0.0,9,31,21
Animal Companion,1.0,0.0,0.0,9,31,21
Arathi Weaponsmith,0.0,0.0,0.1429,9,31,21
Arcane Explosion,0.0,0.0645,0.0,9,31,21
Arcane Golem,0.1111,0.0,0.0,9,31,21
Arcane Intellect,0.0,1.0,0.0,9,31,21
Arcane Missiles,0.0,0.0968,0.0,9,31,21
Arcanite Reaper,0.0,0.0,0.1905,9,31,21
Archmage,0.0,0.0645,0.0,9,31,21
Archmage Antonidas,0.0,0.0645,0.0,9,31,21
Argent Squire,0.0,0.2581,0.0476,9,31,21
Armorsmith,0.0,0.0,0.8571,9,31,21
Azure Drake,0.0,0.0645,0.0,9,31,21
Baron Geddon,0.0,0.0323,0.1905,9,31,21
Baron Rivendare,0.0,0.0,0.0952,9,31,21
Battle Rage,0.0,0.0,0.1905,9,31,21
Big Game Hunter,0.0,0.0,0.2857,9,31,21
Blizzard,0.0,0.3548,0.0,9,31,21
Blood Knight,0.0,0.0323,0.0952,9,31,21
Bloodmage Thalnos,0.0,0.1613,0.0,9,31,21
Bloodsail Raider,0.0,0.0,0.0476,9,31,21
Bluegill Warrior,0.0,0.0645,0.0,9,31,21
Booty Bay Bodyguard,0.1111,0.0,0.0,9,31,21
Boulderfist Ogre,0.0,0.0,0.2381,9,31,21
Brawl,0.0,0.0,0.6667,9,31,21
Cairne Bloodhoof,0.1111,0.4194,0.619,9,31,21
Chillwind Yeti,0.0,0.0968,0.0,9,31,21
Cleave,0.0,0.0,0.1905,9,31,21
