card,hunter_share,mage_share,warrior_share,hunter_n_elites,mage_n_elites,warrior_n_elites
Abusive Sergeant,0.2727,0.0323,0.2778,11,31,18
Acidic Swamp Ooze,0.0909,0.0968,0.3333,11,31,18
Acolyte of Pain,0.0,0.3548,0.3889,11,31,18
Alexstrasza,0.0,0.0,0.5556,11,31,18
Amani Berserker,0.0,0.0323,0.2778,11,31,18
Ancient Brewmaster,0.1818,0.0,0.0,11,31,18
Ancient Watcher,0.0909,0.0,0.0,11,31,18
Animal Companion,0.7273,0.0,0.0,11,31,18
Arcane Explosion,0.0,0.4839,0.0,11,31,18
Arcane Golem,0.2727,0.0,0.0,11,31,18
Arcane Intellect,0.0,0.5806,0.0,11,31,18
Arcane Missiles,0.0,0.9032,0.0,11,31,18
Arcane Shot,0.2727,0.0,0.0,11,31,18
Arcanite Reaper,0.0,0.0,0.5556,11,31,18
Archmage,0.0,0.0323,0.0,11,31,18
Archmage Antonidas,0.0,0.1613,0.0,11,31,18
Argent Commander,0.1818,0.2258,0.2778,11,31,18
Argent Squire,0.0,0.0323,0.0,11,31,18
Armorsmith,0.0,0.0,0.7222,11,31,18
Azure Drake,0.0,0.5484,0.3889,11,31,18
Baron Geddon,0.1818,0.0,0.0,11,31,18
Big Game Hunter,0.0,0.0968,0.0556,11,31,18
Blizzard,0.0,0.2903,0.0,11,31,18
Bloodfen Raptor,0.0,0.0645,0.0,11,31,18
Bloodmage Thalnos,0.0,0.4194,0.0,11,31,18
Bloodsail Raider,0.0,0.0323,0.2778,11,31,18
Booty Bay Bodyguard,0.0,0.4194,0.0,11,31,18
Boulderfist Ogre,0.2727,0.0,0.0,11,31,18
Brawl,0.0,0.0,0.3333,11,31,18
Cairne Bloodhoof,0.0,0.1613,0.3889,11,31,18
Captain's Parrot,0.0,0.0,0.0556,11,31,18
Charge,0.0,0.0,0.3333,11,31,18
Chillwind Yeti,0.0,0.1613,0.0,11,31,18
Cleave,0.0,0.0,0.6667,11,31,18
Coldlight Oracle,0.2727,0.0968,0.0,11,31,18
Coldlight Seer,0.0,0.0323,0.0,11,31,18
Cone of Cold,0.0,0.2581,0.0,11,31,18
Core Hound,0.0909,0.0,0.0,11,31,18
Counterspell,0.0,0.1935,0.0,11,31,18
Crazed Alchemist,0.0,0.0323,0.0,11,31,18
Cruel Taskmaster,0.0,0.0,1.0,11,31,18
Cult Master,0.2727,0.1935,0.0,11,31,18
Dalaran Mage,0.0,0.0,0.0556,11,31,18
Dark Iron Dwarf,0.0,0.1935,0.2778,11,31,18
Deadly Shot,0.1818,0.0,0.0,11,31,18
Death's Bite,0.0,0.0,0.3333,11,31,18
Deathlord,0.0,0.0645,0.0,11,31,18
Defender of Argus,0.1818,0.0323,0.0556,11,31,18
Demolisher,0.0,0.3871,0.0,11,31,18
Dire Wolf Alpha,0.2727,0.0645,0.0,11,31,18
Doomsayer,0.0909,0.129,0.0,11,31,18
Eaglehorn Bow,0.3636,0.0,0.0,11,31,18
Earthen Ring Farseer,0.1818,0.3226,0.0,11,31,18
Echoing Ooze,0.2727,0.0,0.0,11,31,18
Elite Tauren Chieftain,0.0,0.0645,0.0,11,31,18
Elven Archer,0.2727,0.4194,0.0,11,31,18
Emperor Cobra,0.0909,0.0,0.1111,11,31,18
Ethereal Arcanist,0.0,0.0968,0.0,11,31,18
Execute,0.0,0.0,0.7222,11,31,18
Explosive Shot,0.2727,0.0,0.0,11,31,18
Explosive Trap,0.4545,0.0,0.0,11,31,18
Faceless Manipulator,0.0,0.0,0.5556,11,31,18
Fen Creeper,0.2727,0.0,0.0,11,31,18
Fiery War Axe,0.0,0.0,1.0,11,31,18
Fireball,0.0,0.871,0.0,11,31,18
Flamestrike,0.0,0.3871,0.0,11,31,18
Flesheating Ghoul,0.0909,0.0,0.0,11,31,18
Frost Elemental,0.2727,0.0,0.0,11,31,18
Frost Nova,0.0,0.6129,0.0,11,31,18
Frostbolt,0.0,0.9355,0.0,11,31,18
Frostwolf Warlord,0.3636,0.3226,0.0,11,31,18
Frothing Berserker,0.0,0.0,0.2778,11,31,18
Gadgetzan Auctioneer,0.0909,0.0968,0.0,11,31,18
Gladiator's Longbow,0.2727,0.0,0.0,11,31,18
Gorehowl,0.0,0.0,0.1111,11,31,18
Grommash Hellscream,0.0,0.0,0.2222,11,31,18
Gurubashi Berserker,0.2727,0.0,0.0,11,31,18
Harvest Golem,0.0,0.0968,0.0,11,31,18
Haunted Creeper,0.0909,0.0,0.0,11,31,18
Heroic Strike,0.0,0.0,0.2778,11,31,18
Houndmaster,0.4545,0.0,0.0,11,31,18
Hunter's Mark,0.4545,0.0,0.0,11,31,18
Ice Barrier,0.0,0.129,0.0,11,31,18
Ice Block,0.0,0.2903,0.0,11,31,18
Ice Lance,0.0,0.5806,0.0,11,31,18
Imp Master,0.1818,0.0,0.1111,11,31,18
Inner Rage,0.0,0.0,0.3889,11,31,18
Ironbeak Owl,0.1818,0.0,0.0,11,31,18
Ironforge Rifleman,0.2727,0.0,0.0,11,31,18
Ironfur Grizzly,0.0,0.0645,0.1111,11,31,18
Kel'Thuzad,0.0,0.0,0.1111,11,31,18
Kill Command,0.2727,0.0,0.0,11,31,18
Kirin Tor Mage,0.0,0.0968,0.0,11,31,18
Knife Juggler,0.2727,0.2581,0.0,11,31,18
Kor'kron Elite,0.0,0.0,0.6667,11,31,18
Leeroy Jenkins,0.2727,0.129,0.0,11,31,18
Leper Gnome,0.1818,0.2581,0.2778,11,31,18
Loatheb,0.0,0.0968,0.0,11,31,18
Loot Hoarder,0.0,0.3548,0.0,11,31,18
Lord of the Arena,0.0,0.0645,0.0,11,31,18
Mad Bomber,0.0909,0.0,0.0,11,31,18
Mad Scientist,0.0909,0.0,0.0,11,31,18
Maexxna,0.0,0.0323,0.0,11,31,18
Mana Wraith,0.0,0.0,0.1667,11,31,18
Mana Wyrm,0.0,0.4516,0.0,11,31,18
Mirror Entity,0.0,0.0968,0.0,11,31,18
Mirror Image,0.0,0.6452,0.0,11,31,18
Mogu'shan Warden,0.0,0.2258,0.0,11,31,18
Mortal Strike,0.0,0.0,0.2778,11,31,18
Multi-Shot,0.4545,0.0,0.0,11,31,18
Murloc Warleader,0.0,0.0,0.3889,11,31,18
Nat Pagle,0.0,0.0323,0.0,11,31,18
Nightblade,0.2727,0.0,0.1667,11,31,18
Novice Engineer,0.0,0.0968,0.0,11,31,18
Oasis Snapjaw,0.0,0.0,0.1667,11,31,18
Ogre Magi,0.0,0.0,0.0556,11,31,18
Pint-Sized Summoner,0.1818,0.0,0.0,11,31,18
Polymorph,0.0,0.5806,0.0,11,31,18
Pyroblast,0.0,0.1613,0.0,11,31,18
Questing Adventurer,0.0,0.0968,0.0,11,31,18
Raging Worgen,0.0,0.0323,0.6111,11,31,18
Ragnaros the Firelord,0.0,0.0323,0.3889,11,31,18
Raid Leader,0.0909,0.0,0.0,11,31,18
Rampage,0.0,0.0,0.1667,11,31,18
Razorfen Hunter,0.2727,0.0,0.0,11,31,18
Reckless Rocketeer,0.2727,0.0,0.0,11,31,18
River Crocolisk,0.2727,0.0,0.0,11,31,18
Savannah Highmane,0.4545,0.0,0.0,11,31,18
Scarlet Crusader,0.2727,0.0968,0.0,11,31,18
Scavenging Hyena,0.7273,0.0,0.0,11,31,18
Sea Giant,0.2727,0.0,0.0,11,31,18
Secretkeeper,0.0,0.0968,0.0,11,31,18
Sen'jin Shieldmasta,0.2727,0.0323,0.0,11,31,18
Shade of Naxxramas,0.0909,0.0323,0.0,11,31,18
Shattered Sun Cleric,0.2727,0.0,0.0,11,31,18
Shield Block,0.0,0.0,0.7222,11,31,18
Shield Slam,0.0,0.0,0.5,11,31,18
Silver Hand Knight,0.0909,0.0,0.0,11,31,18
Silverback Patriarch,0.0,0.0645,0.0,11,31,18
