card,hunter_share,mage_share,warrior_share,hunter_n_elites,mage_n_elites,warrior_n_elites
Abomination,0.0,0.0,0.2,13,31,20
Abusive Sergeant,0.3846,0.0,0.25,13,31,20
Acidic Swamp Ooze,0.1538,0.0968,0.0,13,31,20
Acolyte of Pain,0.0,0.2258,0.2,13,31,20
Alexstrasza,0.0,0.0,0.45,13,31,20
Amani Berserker,0.0,0.0,0.1,13,31,20
Ancient Brewmaster,0.3077,0.0323,0.0,13,31,20
Ancient Mage,0.0,0.0,0.05,13,31,20
Ancient Watcher,0.1538,0.0,0.0,13,31,20
Animal Companion,0.6154,0.0,0.0,13,31,20
Arcane Explosion,0.0,0.4516,0.0,13,31,20
Arcane Golem,0.3846,0.0,0.05,13,31,20
Arcane Intellect,0.0,0.5806,0.0,13,31,20
Arcane Missiles,0.0,0.8065,0.0,13,31,20
Arcane Shot,0.3846,0.0,0.0,13,31,20
Arcanite Reaper,0.0,0.0,0.6,13,31,20
Archmage Antonidas,0.0,0.129,0.0,13,31,20
Argent Commander,0.3846,0.2258,0.25,13,31,20
Argent Squire,0.0,0.0,0.05,13,31,20
Armorsmith,0.0,0.0,0.75,13,31,20
Azure Drake,0.0,0.4839,0.25,13,31,20
Baron Geddon,0.0,0.0,0.15,13,31,20
Big Game Hunter,0.0,0.129,0.25,13,31,20
Blizzard,0.0,0.4194,0.0,13,31,20
Bloodfen Raptor,0.0,0.0323,0.0,13,31,20
Bloodmage Thalnos,0.0,0.4839,0.05,13,31,20
Bloodsail Raider,0.0769,0.0,0.25,13,31,20
Booty Bay Bodyguard,0.0,0.5161,0.0,13,31,20
Boulderfist Ogre,0.4615,0.0,0.0,13,31,20
Brawl,0.0,0.0,0.2,13,31,20
Cairne Bloodhoof,0.0,0.1613,0.2,13,31,20
Charge,0.0,0.0,0.35,13,31,20
Chillwind Yeti,0.0,0.4194,0.05,13,31,20
Cleave,0.0,0.0,0.3,13,31,20
Coldlight Oracle,0.1538,0.2258,0.05,13,31,20
Coldlight Seer,0.2308,0.0,0.0,13,31,20
Core Hound,0.0,0.0,0.05,13,31,20
Counterspell,0.0,0.129,0.0,13,31,20
Crazed Alchemist,0.0,0.0645,0.0,13,31,20
Cruel Taskmaster,0.0,0.0,0.8,13,31,20
Cult Master,0.4615,0.0323,0.0,13,31,20
Dark Iron Dwarf,0.0,0.0968,0.25,13,31,20
Darkscale Healer,0.0,0.0,0.05,13,31,20
Death's Bite,0.0,0.0,0.4,13,31,20
Defender of Argus,0.4615,0.0323,0.05,13,31,20
Demolisher,0.0,0.3226,0.0,13,31,20
Dire Wolf Alpha,0.4615,0.0968,0.0,13,31,20
Doomsayer,0.1538,0.2258,0.05,13,31,20
Dragonling Mechanic,0.0,0.0645,0.15,13,31,20
Dread Corsair,0.2308,0.0,0.0,13,31,20
Eaglehorn Bow,0.4615,0.0,0.0,13,31,20
Earthen Ring Farseer,0.1538,0.3226,0.0,13,31,20
Echoing Ooze,0.4615,0.0323,0.0,13,31,20
