card,hunter_share,mage_share,warrior_share,hunter_n_elites,mage_n_elites,warrior_n_elites
Abomination,0.0,0.0,0.2778,13,23,18
Abusive Sergeant,0.2308,0.0,0.1667,13,23,18
Acidic Swamp Ooze,0.1538,0.1739,0.0,13,23,18
Acolyte of Pain,0.0,0.0435,0.3333,13,23,18
Alarm-o-Bot,0.1538,0.0,0.0,13,23,18
Alexstrasza,0.1538,0.0,0.4444,13,23,18
Amani Berserker,0.0769,0.0,0.0,13,23,18
Ancient Brewmaster,0.1538,0.087,0.0,13,23,18
Ancient Mage,0.1538,0.0,0.0,13,23,18
Ancient Watcher,0.4615,0.0,0.0,13,23,18
Animal Companion,0.7692,0.0,0.0,13,23,18
Arcane Explosion,0.0,0.3043,0.0,13,23,18
Arcane Golem,0.0769,0.0,0.0,13,23,18
Arcane Intellect,0.0,0.5217,0.0,13,23,18
Arcane Missiles,0.0,0.6522,0.0,13,23,18
Arcane Shot,0.2308,0.0,0.0,13,23,18
Arcanite Reaper,0.0,0.0,0.6667,13,23,18
Archmage Antonidas,0.0,0.087,0.0,13,23,18
Argent Commander,0.1538,0.3478,0.1667,13,23,18
Armorsmith,0.0,0.0,0.8889,13,23,18
Azure Drake,0.0,0.3478,0.2778,13,23,18
Baron Geddon,0.0,0.0,0.3333,13,23,18
Baron Rivendare,0.0769,0.0,0.0,13,23,18
Big Game Hunter,0.0,0.1304,0.1111,13,23,18
Blizzard,0.0,0.5217,0.0,13,23,18
Bloodfen Raptor,0.1538,0.0,0.1111,13,23,18
Bloodmage Thalnos,0.0,0.4348,0.2778,13,23,18
Bloodsail Raider,0.0,0.0,0.1667,13,23,18
Bluegill Warrior,0.0,0.0,0.1111,13,23,18
Booty Bay Bodyguard,0.0,0.5652,0.0,13,23,18
Boulderfist Ogre,0.2308,0.0,0.0,13,23,18
Cairne Bloodhoof,0.0,0.1304,0.2778,13,23,18
Captain's Parrot,0.0,0.0435,0.0,13,23,18
Charge,0.0,0.0,0.1111,13,23,18
Chillwind Yeti,0.0,0.5217,0.0,13,23,18
Cleave,0.0,0.0,0.1667,13,23,18
Coldlight Oracle,0.1538,0.2609,0.0556,13,23,18
Coldlight Seer,0.0,0.0,0.0556,13,23,18
Core Hound,0.0,0.0,0.0556,13,23,18
Counterspell,0.0,0.1304,0.0,13,23,18
Cruel Taskmaster,0.0,0.0,0.8333,13,23,18
Cult Master,0.1538,0.087,0.0,13,23,18
Dalaran Mage,0.0,0.0,0.0556,13,23,18
Dancing Swords,0.0769,0.0,0.0,13,23,18
Dark Iron Dwarf,0.0,0.0,0.1667,13,23,18
Darkscale Healer,0.0,0.0,0.1111,13,23,18
Death's Bite,0.0,0.0,0.3889,13,23,18
Defender of Argus,0.1538,0.0,0.0,13,23,18
Demolisher,0.0,0.2174,0.0,13,23,18
Dire Wolf Alpha,0.2308,0.1304,0.0,13,23,18
Doomsayer,0.3077,0.3043,0.0,13,23,18
Dragonling Mechanic,0.0,0.087,0.1111,13,23,18
Dread Corsair,0.2308,0.0,0.0,13,23,18
Eaglehorn Bow,0.2308,0.0,0.0,13,23,18
Earthen Ring Farseer,0.0,0.2174,0.0,13,23,18
Echoing Ooze,0.2308,0.0,0.0,13,23,18
Elite Tauren Chieftain,0.0,0.1304,0.0,13,23,18
Elven Archer,0.2308,0.3913,0.0,13,23,18
Emperor Cobra,0.0,0.1304,0.1667,13,23,18
Ethereal Arcanist,0.0,0.1304,0.0,13,23,18
Execute,0.0,0.0,0.7222,13,23,18
Explosive Shot,0.3077,0.0,0.0,13,23,18
Explosive Trap,0.0769,0.0,0.0,13,23,18
Faceless Manipulator,0.0,0.087,0.5556,13,23,18
Fen Creeper,0.2308,0.0,0.0,13,23,18
Fiery War Axe,0.0,0.0,0.9444,13,23,18
Fireball,0.0,0.6522,0.0,13,23,18
Flamestrike,0.0,0.2174,0.0,13,23,18
Flesheating Ghoul,0.3846,0.1739,0.0,13,23,18
Frost Elemental,0.3846,0.0,0.6111,13,23,18
Frost Nova,0.0,0.5217,0.0,13,23,18
Frostbolt,0.0,0.8696,0.0,13,23,18
Frostwolf Warlord,0.4615,0.2174,0.0,13,23,18
Frothing Berserker,0.0,0.0,0.1667,13,23,18
Gadgetzan Auctioneer,0.0,0.0435,0.0556,13,23,18
Gnomish Inventor,0.0,0.0,0.1111,13,23,18
Grommash Hellscream,0.0,0.0,0.3333,13,23,18
Gurubashi Berserker,0.0769,0.0,0.0,13,23,18
Harrison Jones,0.0,0.0435,0.0,13,23,18
Harvest Golem,0.2308,0.0,0.0,13,23,18
Haunted Creeper,0.3846,0.0,0.0,13,23,18
Heroic Strike,0.0,0.0,0.0556,13,23,18
Houndmaster,0.5385,0.0,0.0,13,23,18
Hungry Crab,0.0,0.0,0.0556,13,23,18
Hunter's Mark,0.3077,0.0,0.0,13,23,18
Ice Barrier,0.0,0.087,0.0,13,23,18
Ice Block,0.0,0.3043,0.0,13,23,18
Ice Lance,0.0,0.4348,0.0,13,23,18
Imp Master,0.1538,0.0,0.0,13,23,18
Inner Rage,0.0,0.0,0.2778,13,23,18
Ironbeak Owl,0.0,0.0,0.2778,13,23,18
Ironforge Rifleman,0.2308,0.0,0.0,13,23,18
Ironfur Grizzly,0.0,0.0,0.2778,13,23,18
Kel'Thuzad,0.0,0.1739,0.0556,13,23,18
Kill Command,0.5385,0.0,0.0,13,23,18
Kirin Tor Mage,0.0,0.1304,0.0,13,23,18
Knife Juggler,0.2308,0.2174,0.0556,13,23,18
Kobold Geomancer,0.0,0.0435,0.0,13,23,18
Kor'kron Elite,0.0,0.0,0.5556,13,23,18
Leeroy Jenkins,0.3846,0.0,0.0,13,23,18
Leper Gnome,0.2308,0.3478,0.1111,13,23,18
Lightwarden,0.0,0.0435,0.0,13,23,18
Loatheb,0.3846,0.0,0.0,13,23,18
Loot Hoarder,0.0,0.2174,0.0,13,23,18
Lord of the Arena,0.0,0.0435,0.0,13,23,18
Mad Bomber,0.0769,0.0,0.5556,13,23,18
Maexxna,0.0,0.0,0.0556,13,23,18
Mana Wyrm,0.0,0.1739,0.0,13,23,18
Mind Control Tech,0.0,0.087,0.0556,13,23,18
Mirror Entity,0.0,0.1304,0.0,13,23,18
Mirror Image,0.0,0.7391,0.0,13,23,18
Mogu'shan Warden,0.0769,0.2174,0.0,13,23,18
Molten Giant,0.0,0.087,0.0,13,23,18
Mortal Strike,0.0,0.0,0.2778,13,23,18
Mountain Giant,0.0,0.0435,0.0,13,23,18
Multi-Shot,0.2308,0.0,0.0,13,23,18
Murloc Tidecaller,0.0,0.0435,0.0,13,23,18
Murloc Tidehunter,0.0,0.0435,0.0,13,23,18
Nat Pagle,0.0,0.2174,0.0,13,23,18
Nightblade,0.2308,0.0,0.0,13,23,18
Novice Engineer,0.0,0.2609,0.0,13,23,18
Oasis Snapjaw,0.0,0.087,0.2222,13,23,18
Ogre Magi,0.0769,0.0435,0.1111,13,23,18
Polymorph,0.0,0.4348,0.0,13,23,18
Priestess of Elune,0.0,0.0435,0.1111,13,23,18
Raging Worgen,0.1538,0.0,0.7222,13,23,18
Ragnaros the Firelord,0.0769,0.087,0.2778,13,23,18
Razorfen Hunter,0.2308,0.087,0.0556,13,23,18
Reckless Rocketeer,0.2308,0.0435,0.0,13,23,18
River Crocolisk,0.5385,0.0,0.0,13,23,18
Savannah Highmane,0.5385,0.0,0.0,13,23,18
Scarlet Crusader,0.2308,0.087,0.0556,13,23,18
Scavenging Hyena,0.5385,0.0,0.0,13,23,18
Sea Giant,0.2308,0.087,0.0,13,23,18
Secretkeeper,0.0,0.1304,0.0,13,23,18
Sen'jin Shieldmasta,0.5385,0.0,0.0,13,23,18
