card,hunter_share,mage_share,warrior_share,hunter_n_elites,mage_n_elites,warrior_n_elites
Abusive Sergeant,0.2857,0.08,0.1111,7,25,18
Acidic Swamp Ooze,0.4286,0.0,0.1111,7,25,18
Acolyte of Pain,0.0,0.6,0.7778,7,25,18
Alexstrasza,0.0,0.16,0.2222,7,25,18
Amani Berserker,0.0,0.36,0.2222,7,25,18
Ancient Mage,0.0,0.08,0.0,7,25,18
Angry Chicken,0.0,0.08,0.0,7,25,18
Animal Companion,0.7143,0.0,0.0,7,25,18
Arathi Weaponsmith,0.0,0.0,0.3333,7,25,18
Arcane Explosion,0.0,0.4,0.0,7,25,18
Arcane Golem,0.0,0.08,0.1111,7,25,18
Arcane Intellect,0.0,0.96,0.0,7,25,18
Arcane Missiles,0.0,0.76,0.0,7,25,18
Arcane Shot,0.2857,0.0,0.0,7,25,18
Arcanite Reaper,0.0,0.0,0.1667,7,25,18
Archmage Antonidas,0.0,0.44,0.0,7,25,18
Argent Commander,0.0,0.0,0.2222,7,25,18
Argent Squire,0.0,0.0,0.1111,7,25,18
Armorsmith,0.0,0.0,0.6667,7,25,18
Azure Drake,0.0,0.44,0.0,7,25,18
Baron Geddon,0.0,0.0,0.2778,7,25,18
Battle Rage,0.0,0.0,0.2778,7,25,18
Big Game Hunter,0.0,0.0,0.2222,7,25,18
Blizzard,0.0,0.68,0.0,7,25,18
Blood Knight,0.0,0.0,0.2222,7,25,18
Bloodfen Raptor,0.5714,0.0,0.0,7,25,18
Bloodmage Thalnos,0.0,0.72,0.0,7,25,18
Bloodsail Corsair,0.0,0.08,0.0556,7,25,18
Bluegill Warrior,0.2857,0.0,0.0556,7,25,18
Boulderfist Ogre,0.0,0.08,0.0,7,25,18
Brawl,0.0,0.0,0.3333,7,25,18
Cairne Bloodhoof,0.0,0.2,0.2222,7,25,18
Chillwind Yeti,0.0,0.12,0.0,7,25,18
Cleave,0.0,0.0,0.3889,7,25,18
Coldlight Oracle,0.0,0.2,0.0,7,25,18
Cone of Cold,0.0,0.2,0.0,7,25,18
Cruel Taskmaster,0.0,0.0,0.9444,7,25,18
Cult Master,0.0,0.08,0.1111,7,25,18
Dark Iron Dwarf,0.2857,0.0,0.1111,7,25,18
Darkscale Healer,0.0,0.0,0.0556,7,25,18
Deadly Shot,0.7143,0.0,0.0,7,25,18
Death's Bite,0.0,0.0,0.2222,7,25,18
