period,generation,class,n_elites,mean_fitness
p1_naxx_early,0,HUNTER,8,0.5964
p1_naxx_early,0,MAGE,9,0.5957
p1_naxx_early,0,WARRIOR,12,0.5231
p1_naxx_early,1,HUNTER,9,0.5787
p1_naxx_early,1,MAGE,10,0.6292
p1_naxx_early,1,WARRIOR,12,0.5122
p1_naxx_early,2,HUNTER,9,0.5965
p1_naxx_early,2,MAGE,12,0.6169
p1_naxx_early,2,WARRIOR,16,0.513
p1_naxx_early,3,HUNTER,11,0.541
p1_naxx_early,3,MAGE,16,0.6059
p1_naxx_early,3,WARRIOR,16,0.5213
p1_naxx_early,4,HUNTER,12,0.5388
p1_naxx_early,4,MAGE,16,0.6068
p1_naxx_early,4,WARRIOR,16,0.5256
p1_naxx_early,5,HUNTER,13,0.5374
p1_naxx_early,5,MAGE,16,0.6102
p1_naxx_early,5,WARRIOR,16,0.5247
p1_naxx_early,6,HUNTER,13,0.5374
p1_naxx_early,6,MAGE,16,0.6128
p1_naxx_early,6,WARRIOR,16,0.5178
p1_naxx_early,7,HUNTER,13,0.5465
p1_naxx_early,7,MAGE,16,0.6254
p1_naxx_early,7,WARRIOR,16,0.5456
p1_naxx_early,8,HUNTER,13,0.5465
p1_naxx_early,8,MAGE,16,0.622
p1_naxx_early,8,WARRIOR,16,0.5716
p1_naxx_early,9,HUNTER,13,0.5684
p1_naxx_early,9,MAGE,16,0.6263
p1_naxx_early,9,WARRIOR,16,0.5382
p2_naxx_late,0,HUNTER,8,0.6536
p2_naxx_late,0,MAGE,14,0.4926
p2_naxx_late,0,WARRIOR,14,0.5908
p2_naxx_late,1,HUNTER,11,0.6793
p2_naxx_late,1,MAGE,16,0.5174
p2_naxx_late,1,WARRIOR,16,0.6168
p2_naxx_late,2,HUNTER,11,0.6824
p2_naxx_late,2,MAGE,16,0.5299
p2_naxx_late,2,WARRIOR,16,0.6367
p2_naxx_late,3,HUNTER,11,0.6787
p2_naxx_late,3,MAGE,16,0.5573
p2_naxx_late,3,WARRIOR,16,0.6736
p2_naxx_late,4,HUNTER,12,0.6586
p2_naxx_late,4,MAGE,16,0.5651
p2_naxx_late,4,WARRIOR,16,0.691
p2_naxx_late,5,HUNTER,13,0.6517
p2_naxx_late,5,MAGE,16,0.5846
p2_naxx_late,5,WARRIOR,16,0.714
p2_naxx_late,6,HUNTER,14,0.6572
p2_naxx_late,6,MAGE,16,0.4753
p2_naxx_late,6,WARRIOR,16,0.6602
p2_naxx_late,7,HUNTER,15,0.6458
p2_naxx_late,7,MAGE,16,0.5382
p2_naxx_late,7,WARRIOR,16,0.6649
p2_naxx_late,8,HUNTER,15,0.6676
p2_naxx_late,8,MAGE,16,0.5308
p2_naxx_late,8,WARRIOR,16,0.6927
p2_naxx_late,9,HUNTER,15,0.6634
p2_naxx_late,9,MAGE,16,0.5048
p2_naxx_late,9,WARRIOR,16,0.6536
p3_postnerf_early,0,HUNTER,8,0.6424
p3_postnerf_early,0,MAGE,11,0.4975
p3_postnerf_early,0,WARRIOR,11,0.5101
p3_postnerf_early,1,HUNTER,8,0.7396
p3_postnerf_early,1,MAGE,15,0.4833
p3_postnerf_early,1,WARRIOR,12,0.5174
p3_postnerf_early,2,HUNTER,8,0.7604
p3_postnerf_early,2,MAGE,16,0.4683
p3_postnerf_early,2,WARRIOR,14,0.5486
p3_postnerf_early,3,HUNTER,8,0.7465
p3_postnerf_early,3,MAGE,16,0.4696
p3_postnerf_early,3,WARRIOR,16,0.5204
p3_postnerf_early,4,HUNTER,7,0.7391
p3_postnerf_early,4,MAGE,16,0.5191
p3_postnerf_early,4,WARRIOR,16,0.5408
p3_postnerf_early,5,HUNTER,8,0.7283
