card,hunter_share,mage_share,warrior_share,hunter_n_elites,mage_n_elites,warrior_n_elites
Abomination,0.0,0.0,0.3333,13,18,21
Abusive Sergeant,0.0769,0.2778,0.0,13,18,21
Acidic Swamp Ooze,0.2308,0.0,0.0,13,18,21
Acolyte of Pain,0.1538,0.3333,0.7143,13,18,21
Alexstrasza,0.1538,0.2222,0.4286,13,18,21
Amani Berserker,0.0769,0.7778,0.4286,13,18,21
Ancient Mage,0.0769,0.0,0.0,13,18,21
Ancient Watcher,0.0,0.1111,0.0,13,18,21
Animal Companion,1.0,0.0,0.0,13,18,21
Arathi Weaponsmith,0.0,0.0,0.4286,13,18,21
Arcane Explosion,0.0,0.1111,0.0,13,18,21
Arcane Golem,0.0,0.1111,0.0952,13,18,21
Arcane Intellect,0.0,0.2778,0.0,13,18,21
Arcane Missiles,0.0,0.7778,0.0,13,18,21
Arcane Shot,0.4615,0.0,0.0,13,18,21
Arcanite Reaper,0.0,0.0,0.5238,13,18,21
Archmage Antonidas,0.0,0.1667,0.0,13,18,21
Argent Commander,0.0,0.1667,0.3333,13,18,21
Argent Squire,0.0,0.2222,0.0,13,18,21
Armorsmith,0.0,0.0,0.4286,13,18,21
Azure Drake,0.0,0.8333,0.0952,13,18,21
Baron Geddon,0.0,0.0,0.0476,13,18,21
Battle Rage,0.0,0.0,0.1429,13,18,21
Big Game Hunter,0.0,0.2222,0.0476,13,18,21
Blizzard,0.0,0.3333,0.0,13,18,21
Blood Knight,0.1538,0.0,0.0,13,18,21
Bloodfen Raptor,0.0,0.0,0.0952,13,18,21
Bloodmage Thalnos,0.0,0.1667,0.0,13,18,21
Bloodsail Raider,0.0,0.0,0.381,13,18,21
Boulderfist Ogre,0.0,0.0,0.1429,13,18,21
Brawl,0.0,0.0,0.381,13,18,21
Cairne Bloodhoof,0.0769,0.2222,0.381,13,18,21
Charge,0.0,0.0,0.0476,13,18,21
Chillwind Yeti,0.0,0.1111,0.1429,13,18,21
Cleave,0.0,0.0,0.1905,13,18,21
Coldlight Oracle,0.0,0.0,0.0476,13,18,21
Commanding Shout,0.0,0.0,0.0952,13,18,21
Cone of Cold,0.0,0.0556,0.0,13,18,21
Counterspell,0.0,0.1667,0.0,13,18,21
Cruel Taskmaster,0.0,0.0,0.9048,13,18,21
Dancing Swords,0.1538,0.0,0.0,13,18,21
Dark Iron Dwarf,0.0,0.0,0.0952,13,18,21
Darkscale Healer,0.0769,0.0,0.0,13,18,21
Deadly Shot,0.7692,0.0,0.0,13,18,21
Defender of Argus,0.0,0.1111,0.0,13,18,21
Demolisher,0.0,0.1111,0.0,13,18,21
Dire Wolf Alpha,0.4615,0.2222,0.0,13,18,21
Doomsayer,0.0,0.0,0.0476,13,18,21
Dread Corsair,0.0,0.0,0.1429,13,18,21
Eaglehorn Bow,0.6923,0.0,0.0,13,18,21
Earthen Ring Farseer,0.0,0.3333,0.1429,13,18,21
Echoing Ooze,0.0,0.0556,0.0,13,18,21
Elven Archer,0.0,0.2778,0.0,13,18,21
Ethereal Arcanist,0.0,0.2222,0.0,13,18,21
Execute,0.0,0.0,0.8095,13,18,21
Explosive Shot,0.5385,0.0,0.0,13,18,21
Explosive Trap,0.8462,0.0,0.0,13,18,21
Faceless Manipulator,0.0,0.3333,0.4762,13,18,21
Faerie Dragon,0.0769,0.2222,0.0,13,18,21
Feugen,0.0,0.0,0.0476,13,18,21
Fiery War Axe,0.0,0.0,1.0,13,18,21
Fireball,0.0,1.0,0.0,13,18,21
Flamestrike,0.0,0.6111,0.0,13,18,21
Flare,0.5385,0.0,0.0,13,18,21
Flesheating Ghoul,0.0,0.0,0.1429,13,18,21
Freezing Trap,0.5385,0.0,0.0,13,18,21
Frost Elemental,0.0769,0.0,0.0,13,18,21
Frostbolt,0.0,0.9444,0.0,13,18,21
Frothing Berserker,0.0,0.0,0.7619,13,18,21
Gadgetzan Auctioneer,0.3846,0.1111,0.1905,13,18,21
Gnomish Inventor,0.0,0.0556,0.1429,13,18,21
Goldshire Footman,0.1538,0.0,0.0476,13,18,21
Gorehowl,0.0,0.0,0.2857,13,18,21
Grommash Hellscream,0.0,0.0,0.7143,13,18,21
Gurubashi Berserker,0.0,0.1667,0.0476,13,18,21
Harrison Jones,0.0,0.0,0.0476,13,18,21
Harvest Golem,0.0,0.4444,0.1429,13,18,21
Haunted Creeper,0.2308,0.0,0.0476,13,18,21
Houndmaster,0.4615,0.0,0.0,13,18,21
Hunter's Mark,0.6923,0.0,0.0,13,18,21
Ice Block,0.0,0.2222,0.0,13,18,21
Ice Lance,0.0,0.1667,0.0,13,18,21
Imp Master,0.0,0.0,0.0952,13,18,21
Inner Rage,0.0,0.0,0.2381,13,18,21
Ironbeak Owl,0.3846,0.0556,0.0,13,18,21
Ironfur Grizzly,0.1538,0.0,0.0,13,18,21
Kill Command,1.0,0.0,0.0,13,18,21
Kirin Tor Mage,0.0,0.1111,0.0,13,18,21
Knife Juggler,0.0769,0.2778,0.0476,13,18,21
Kobold Geomancer,0.0,0.4444,0.0,13,18,21
Kor'kron Elite,0.0,0.0,0.381,13,18,21
Leeroy Jenkins,0.2308,0.2222,0.0,13,18,21
Leper Gnome,0.3077,0.3333,0.2381,13,18,21
Lightwarden,0.2308,0.0,0.0,13,18,21
Loatheb,0.0,0.2222,0.0,13,18,21
Loot Hoarder,0.0,0.2222,0.1905,13,18,21
Mad Bomber,0.0,0.1111,0.0,13,18,21
Mad Scientist,0.1538,0.0556,0.0,13,18,21
Mana Addict,0.0769,0.1667,0.0,13,18,21
Mana Wyrm,0.0,0.6111,0.0,13,18,21
Mind Control Tech,0.0,0.1111,0.0,13,18,21
Mirror Entity,0.0,0.2222,0.0,13,18,21
Mirror Image,0.0,0.3889,0.0,13,18,21
Misdirection,0.5385,0.0,0.0,13,18,21
Mogu'shan Warden,0.0,0.1111,0.0,13,18,21
Mortal Strike,0.0,0.0,0.0476,13,18,21
Multi-Shot,0.1538,0.0,0.0,13,18,21
Murloc Tidehunter,0.0,0.0,0.0476,13,18,21
Nat Pagle,0.0,0.1111,0.0,13,18,21
Nerub'ar Weblord,0.0,0.0556,0.0,13,18,21
Nerubian Egg,0.0,0.0,0.0952,13,18,21
Nightblade,0.0,0.1111,0.0,13,18,21
Novice Engineer,0.0,0.0,0.0952,13,18,21
Oasis Snapjaw,0.1538,0.0,0.0476,13,18,21
Polymorph,0.0,0.8889,0.0,13,18,21
Priestess of Elune,0.0,0.0,0.0952,13,18,21
Pyroblast,0.0,0.2222,0.0,13,18,21
Raging Worgen,0.0,0.4444,0.3333,13,18,21
Ragnaros the Firelord,0.0,0.3889,0.2857,13,18,21
Raid Leader,0.0,0.0,0.0476,13,18,21
Rampage,0.0,0.0,0.1905,13,18,21
Ravenholdt Assassin,0.0,0.0,0.0952,13,18,21
Razorfen Hunter,0.1538,0.0,0.0952,13,18,21
River Crocolisk,0.3077,0.0,0.0,13,18,21
Savannah Highmane,0.6154,0.0,0.0,13,18,21
Scavenging Hyena,0.8462,0.0,0.0,13,18,21
Secretkeeper,0.0,0.0,0.0476,13,18,21
Sen'jin Shieldmasta,0.0769,0.0556,0.1429,13,18,21
Shattered Sun Cleric,0.0,0.0,0.0952,13,18,21
Shield Block,0.0,0.0,0.7143,13,18,21
Shield Slam,0.0,0.0,0.4286,13,18,21
Silver Hand Knight,0.0,0.0,0.0952,13,18,21
Silvermoon Guardian,0.0,0.0,0.1429,13,18,21
Slam,0.0,0.0,0.7143,13,18,21
Sludge Belcher,0.1538,0.2778,0.381,13,18,21
Snake Trap,0.2308,0.0,0.0,13,18,21
Snipe,0.3846,0.0,0.0,13,18,21
Sorcerer's Apprentice,0.0,0.3889,0.0,13,18,21
Southsea Captain,0.0,0.0556,0.0,13,18,21
Spectral Knight,0.0,0.0556,0.0,13,18,21
Stalagg,0.0,0.0,0.0476,13,18,21
Stampeding Kodo,0.1538,0.0,0.0476,13,18,21
Starving Buzzard,1.0,0.0,0.0,13,18,21
Stonetusk Boar,0.3077,0.0556,0.0,13,18,21
Stranglethorn Tiger,0.3846,0.0,0.0952,13,18,21
Sunfury Protector,0.0,0.6111,0.0,13,18,21
Sunwalker,0.0769,0.3333,0.0476,13,18,21
Sylvanas Windrunner,0.0,0.2222,0.0,13,18,21
