card,hunter_share,mage_share,warrior_share,hunter_n_elites,mage_n_elites,warrior_n_elites
Acolyte of Pain,0.0909,0.1481,0.625,11,27,16
Alexstrasza,0.0,0.3704,0.375,11,27,16
Amani Berserker,0.0,0.0,0.25,11,27,16
Ancient Mage,0.0,0.0,0.1875,11,27,16
Animal Companion,0.9091,0.0,0.0,11,27,16
Arathi Weaponsmith,0.0,0.0,0.1875,11,27,16
Arcane Explosion,0.0,0.1111,0.0,11,27,16
Arcane Golem,0.0909,0.0741,0.0625,11,27,16
Arcane Intellect,0.0,0.4444,0.0,11,27,16
Arcane Missiles,0.0,0.3704,0.0,11,27,16
Arcane Shot,0.0909,0.0,0.0,11,27,16
Arcanite Reaper,0.0,0.0,0.25,11,27,16
Archmage,0.0,0.037,0.0,11,27,16
Argent Commander,0.0,0.2963,0.3125,11,27,16
Argent Squire,0.0,0.2222,0.0625,11,27,16
Armorsmith,0.0,0.0,1.0,11,27,16
Azure Drake,0.0909,0.5185,0.3125,11,27,16
Baron Geddon,0.0,0.0,0.3125,11,27,16
Baron Rivendare,0.0,0.1481,0.1875,11,27,16
Big Game Hunter,0.0,0.0,0.3125,11,27,16
Blizzard,0.0,0.2593,0.0,11,27,16
Bloodfen Raptor,0.0,0.0,0.125,11,27,16
Bloodmage Thalnos,0.0,0.2593,0.0,11,27,16
Bloodsail Raider,0.0909,0.0,0.1875,11,27,16
Brawl,0.0,0.0,0.5625,11,27,16
Cairne Bloodhoof,0.0,0.2593,0.5625,11,27,16
Cleave,0.0,0.0,0.125,11,27,16
Coldlight Oracle,0.0909,0.1481,0.0,11,27,16
Cone of Cold,0.0,0.2222,0.0,11,27,16
Core Hound,0.0909,0.0,0.0,11,27,16
Counterspell,0.0,0.2963,0.0,11,27,16
Crazed Alchemist,0.0,0.1852,0.0,11,27,16
Cruel Taskmaster,0.0,0.0,1.0,11,27,16
Cult Master,0.0909,0.0,0.0,11,27,16
Dalaran Mage,0.0,0.037,0.0,11,27,16
Dancing Swords,0.1818,0.0,0.0,11,27,16
Dark Iron Dwarf,0.0,0.0,0.125,11,27,16
Darkscale Healer,0.0,0.0741,0.0625,11,27,16
Deadly Shot,0.0909,0.0,0.0,11,27,16
Death's Bite,0.0,0.0,0.8125,11,27,16
Deathlord,0.0,0.0,0.1875,11,27,16
Defender of Argus,0.2727,0.0,0.0,11,27,16
Dire Wolf Alpha,0.3636,0.2222,0.0,11,27,16
Doomsayer,0.0,0.3333,0.0,11,27,16
Duplicate,0.0,0.4815,0.0,11,27,16
Eaglehorn Bow,1.0,0.0,0.0,11,27,16
Elven Archer,0.0909,0.0,0.0,11,27,16
Execute,0.0,0.0,1.0,11,27,16
Explosive Trap,0.9091,0.0,0.0,11,27,16
Feugen,0.0,0.0741,0.0,11,27,16
Fiery War Axe,0.0,0.0,0.8125,11,27,16
Fireball,0.0,0.7778,0.0,11,27,16
Flamestrike,0.0,0.5556,0.0,11,27,16
Flare,1.0,0.0,0.0,11,27,16
Freezing Trap,1.0,0.0,0.0,11,27,16
Frost Elemental,0.0909,0.0741,0.0,11,27,16
Frost Nova,0.0,0.3333,0.0,11,27,16
Frostbolt,0.0,1.0,0.0,11,27,16
Frostwolf Grunt,0.0,0.1852,0.0,11,27,16
Frothing Berserker,0.0,0.0,0.1875,11,27,16
Gadgetzan Auctioneer,0.0,0.0741,0.0,11,27,16
Gnomish Inventor,0.0,0.0741,0.0,11,27,16
Grommash Hellscream,0.0,0.0,0.6875,11,27,16
Harrison Jones,0.0,0.0,0.375,11,27,16
Harvest Golem,0.0,0.4815,0.5,11,27,16
Haunted Creeper,0.9091,0.3704,0.0,11,27,16
Houndmaster,0.5455,0.0,0.0,11,27,16
Hunter's Mark,0.7273,0.0,0.0,11,27,16
Ice Barrier,0.0,0.4444,0.0,11,27,16
Ice Block,0.0,0.3704,0.0,11,27,16
Ice Lance,0.0,0.1111,0.0,11,27,16
Ironbeak Owl,0.3636,0.0,0.25,11,27,16
