card,hunter_share,mage_share,warrior_share,hunter_n_elites,mage_n_elites,warrior_n_elites
Abomination,0.0,0.2593,0.0385,9,27,26
Abusive Sergeant,0.4444,0.0,0.3077,9,27,26
Acidic Swamp Ooze,0.0,0.0741,0.0,9,27,26
Acolyte of Pain,0.2222,0.2963,0.7308,9,27,26
Alexstrasza,0.2222,0.3704,0.2308,9,27,26
Amani Berserker,0.0,0.0741,0.3846,9,27,26
Ancient Brewmaster,0.0,0.037,0.0,9,27,26
Ancient Mage,0.0,0.0,0.0385,9,27,26
Animal Companion,1.0,0.0,0.0,9,27,26
Arcane Golem,0.0,0.0,0.0769,9,27,26
Arcane Intellect,0.0,0.7778,0.0,9,27,26
Arcane Missiles,0.0,0.1111,0.0,9,27,26
Arcanite Reaper,0.0,0.0,0.1538,9,27,26
Archmage Antonidas,0.0,0.1481,0.0,9,27,26
Argent Commander,0.0,0.0,0.3077,9,27,26
Argent Squire,0.0,0.037,0.0385,9,27,26
Armorsmith,0.0,0.0,0.5769,9,27,26
Azure Drake,0.0,0.3333,0.1154,9,27,26
Baron Geddon,0.0,0.037,0.0385,9,27,26
Baron Rivendare,0.2222,0.037,0.0,9,27,26
Battle Rage,0.0,0.0,0.1154,9,27,26
Big Game Hunter,0.0,0.0,0.3846,9,27,26
Blizzard,0.0,0.5185,0.0,9,27,26
Blood Knight,0.0,0.0,0.1154,9,27,26
Bloodmage Thalnos,0.0,0.5185,0.0385,9,27,26
Bluegill Warrior,0.0,0.0,0.0385,9,27,26
Booty Bay Bodyguard,0.0,0.1111,0.0385,9,27,26
Boulderfist Ogre,0.1111,0.0741,0.1154,9,27,26
Brawl,0.0,0.0,0.6538,9,27,26
Cairne Bloodhoof,0.2222,0.037,0.5769,9,27,26
Chillwind Yeti,0.0,0.1111,0.0,9,27,26
Cleave,0.0,0.0,0.3077,9,27,26
Cone of Cold,0.0,0.2963,0.0,9,27,26
Counterspell,0.0,0.2963,0.0,9,27,26
Crazed Alchemist,0.0,0.037,0.0,9,27,26
