period,generation,class,n_elites,mean_fitness
p1_naxx_early,0,HUNTER,9,0.5687
p1_naxx_early,0,MAGE,11,0.5979
p1_naxx_early,0,WARRIOR,11,0.5076
p1_naxx_early,1,HUNTER,11,0.5802
p1_naxx_early,1,MAGE,12,0.662
p1_naxx_early,1,WARRIOR,11,0.5069
p1_naxx_early,2,HUNTER,11,0.5549
p1_naxx_early,2,MAGE,13,0.6592
p1_naxx_early,2,WARRIOR,12,0.485
p1_naxx_early,3,HUNTER,12,0.5434
p1_naxx_early,3,MAGE,15,0.625
p1_naxx_early,3,WARRIOR,13,0.4685
p1_naxx_early,4,HUNTER,13,0.531
p1_naxx_early,4,MAGE,15,0.625
p1_naxx_early,4,WARRIOR,14,0.4737
p1_naxx_early,5,HUNTER,13,0.5347
p1_naxx_early,5,MAGE,16,0.6163
p1_naxx_early,5,WARRIOR,15,0.4694
p1_naxx_early,6,HUNTER,14,0.5253
p1_naxx_early,6,MAGE,16,0.6159
p1_naxx_early,6,WARRIOR,14,0.4757
p1_naxx_early,7,HUNTER,14,0.5357
p1_naxx_early,7,MAGE,16,0.6246
p1_naxx_early,7,WARRIOR,14,0.4742
p1_naxx_early,8,HUNTER,14,0.5347
p1_naxx_early,8,MAGE,16,0.6259
p1_naxx_early,8,WARRIOR,13,0.4909
p1_naxx_early,9,HUNTER,16,0.5773
p1_naxx_early,9,MAGE,16,0.6363
p1_naxx_early,9,WARRIOR,14,0.5005
p2_naxx_late,0,HUNTER,9,0.5278
p2_naxx_late,0,MAGE,11,0.5473
p2_naxx_late,0,WARRIOR,11,0.423
p2_naxx_late,1,HUNTER,11,0.5436
p2_naxx_late,1,MAGE,13,0.5534
p2_naxx_late,1,WARRIOR,13,0.4188
p2_naxx_late,2,HUNTER,13,0.5427
p2_naxx_late,2,MAGE,14,0.5908
p2_naxx_late,2,WARRIOR,14,0.4464
p2_naxx_late,3,HUNTER,13,0.5646
p2_naxx_late,3,MAGE,15,0.5727
p2_naxx_late,3,WARRIOR,16,0.4427
p2_naxx_late,4,HUNTER,14,0.5387
p2_naxx_late,4,MAGE,14,0.5868
p2_naxx_late,4,WARRIOR,16,0.4549
p2_naxx_late,5,HUNTER,15,0.5417
p2_naxx_late,5,MAGE,13,0.5839
p2_naxx_late,5,WARRIOR,16,0.4596
p2_naxx_late,6,HUNTER,16,0.5564
p2_naxx_late,6,MAGE,14,0.5843
p2_naxx_late,6,WARRIOR,16,0.4601
p2_naxx_late,7,HUNTER,15,0.5611
p2_naxx_late,7,MAGE,15,0.5866
p2_naxx_late,7,WARRIOR,16,0.4384
p2_naxx_late,8,HUNTER,14,0.5828
p2_naxx_late,8,MAGE,16,0.589
p2_naxx_late,8,WARRIOR,16,0.4696
p2_naxx_late,9,HUNTER,14,0.5759
p2_naxx_late,9,MAGE,16,0.5942
p2_naxx_late,9,WARRIOR,16,0.4926
p3_postnerf_early,0,HUNTER,9,0.5316
p3_postnerf_early,0,MAGE,13,0.5272
p3_postnerf_early,0,WARRIOR,13,0.4065
p3_postnerf_early,1,HUNTER,11,0.5606
p3_postnerf_early,1,MAGE,14,0.5412
p3_postnerf_early,1,WARRIOR,16,0.4119
p3_postnerf_early,2,HUNTER,12,0.5666
p3_postnerf_early,2,MAGE,16,0.5386
p3_postnerf_early,2,WARRIOR,16,0.4097
p3_postnerf_early,3,HUNTER,12,0.5833
p3_postnerf_early,3,MAGE,16,0.5451
p3_postnerf_early,3,WARRIOR,16,0.4045
p3_postnerf_early,4,HUNTER,13,0.5743
p3_postnerf_early,4,MAGE,16,0.5525
p3_postnerf_early,4,WARRIOR,16,0.431
p3_postnerf_early,5,HUNTER,12,0.5995
p3_postnerf_early,5,MAGE,16,0.5807
p3_postnerf_early,5,WARRIOR,16,0.4648
p3_postnerf_early,6,HUNTER,12,0.5972
p3_postnerf_early,6,MAGE,16,0.5694
p3_postnerf_early,6,WARRIOR,16,0.444
p3_postnerf_early,7,HUNTER,14,0.6066
p3_postnerf_early,7,MAGE,16,0.5534
p3_postnerf_early,7,WARRIOR,16,0.4635
p3_postnerf_early,8,HUNTER,13,0.601
p3_postnerf_early,8,MAGE,16,0.5603
p3_postnerf_early,8,WARRIOR,16,0.4397
p3_postnerf_early,9,HUNTER,12,0.6117
p3_postnerf_early,9,MAGE,16,0.5911
p3_postnerf_early,9,WARRIOR,16,0.4427
p4_postnerf_late,0,HUNTER,5,0.5778
p4_postnerf_late,0,MAGE,11,0.5492
p4_postnerf_late,0,WARRIOR,12,0.43
p4_postnerf_late,1,HUNTER,6,0.603
p4_postnerf_late,1,MAGE,13,0.5817
p4_postnerf_late,1,WARRIOR,13,0.4525
p4_postnerf_late,2,HUNTER,8,0.5859
p4_postnerf_late,2,MAGE,12,0.5955
p4_postnerf_late,2,WARRIOR,15,0.462
p4_postnerf_late,3,HUNTER,9,0.5818
p4_postnerf_late,3,MAGE,16,0.5881
p4_postnerf_late,3,WARRIOR,16,0.4592
p4_postnerf_late,4,HUNTER,10,0.5792
p4_postnerf_late,4,MAGE,16,0.569
p4_postnerf_late,4,WARRIOR,16,0.451
p4_postnerf_late,5,HUNTER,12,0.5833
p4_postnerf_late,5,MAGE,16,0.5738
p4_postnerf_late,5,WARRIOR,16,0.4405
p4_postnerf_late,6,HUNTER,13,0.5689
p4_postnerf_late,6,MAGE,16,0.5738
p4_postnerf_late,6,WARRIOR,16,0.4353
p4_postnerf_late,7,HUNTER,13,0.5769
p4_postnerf_late,7,MAGE,16,0.5799
p4_postnerf_late,7,WARRIOR,16,0.4709
p4_postnerf_late,8,HUNTER,13,0.5753
p4_postnerf_late,8,MAGE,16,0.5751
p4_postnerf_late,8,WARRIOR,16,0.4661
p4_postnerf_late,9,HUNTER,12,0.5804
p4_postnerf_late,9,MAGE,16,0.5781
p4_postnerf_late,9,WARRIOR,16,0.4635
