card,hunter_share,mage_share,warrior_share,hunter_n_elites,mage_n_elites,warrior_n_elites
Abomination,0.0,0.1111,0.1429,16,18,14
Abusive Sergeant,0.125,0.3333,0.0,16,18,14
Acidic Swamp Ooze,0.0625,0.1667,0.0,16,18,14
Acolyte of Pain,0.125,0.2778,0.5714,16,18,14
Alarm-o-Bot,0.0,0.0,0.0714,16,18,14
Alexstrasza,0.0,0.1111,0.2143,16,18,14
Amani Berserker,0.0,0.6667,0.2857,16,18,14
Ancient Brewmaster,0.125,0.0,0.1429,16,18,14
Angry Chicken,0.0,0.1111,0.0714,16,18,14
Animal Companion,1.0,0.0,0.0,16,18,14
Arathi Weaponsmith,0.0,0.0,0.2857,16,18,14
Arcane Explosion,0.0,0.1111,0.0,16,18,14
Arcane Golem,0.0,0.1667,0.2857,16,18,14
Arcane Intellect,0.0,0.5556,0.0,16,18,14
Arcane Missiles,0.0,0.8889,0.0,16,18,14
Arcane Shot,0.4375,0.0,0.0,16,18,14
Arcanite Reaper,0.0,0.0,0.4286,16,18,14
Archmage,0.0,0.1111,0.0,16,18,14
Archmage Antonidas,0.0,0.1111,0.0,16,18,14
Argent Commander,0.0,0.0556,0.5714,16,18,14
Argent Squire,0.0,0.1667,0.0,16,18,14
Armorsmith,0.0,0.0,0.5714,16,18,14
Azure Drake,0.0,0.6111,0.2143,16,18,14
Baron Geddon,0.0,0.0,0.0714,16,18,14
Battle Rage,0.0,0.0,0.1429,16,18,14
Big Game Hunter,0.0,0.1111,0.2143,16,18,14
Blizzard,0.0,0.2778,0.0,16,18,14
Bloodfen Raptor,0.0,0.0,0.2857,16,18,14
Bloodmage Thalnos,0.0,0.3333,0.1429,16,18,14
Bloodsail Raider,0.0,0.0,0.5,16,18,14
Bluegill Warrior,0.0,0.1111,0.0,16,18,14
Boulderfist Ogre,0.0,0.0,0.1429,16,18,14
Brawl,0.0,0.0,0.3571,16,18,14
Cairne Bloodhoof,0.0,0.1111,0.2857,16,18,14
Charge,0.0,0.0,0.1429,16,18,14
Chillwind Yeti,0.0,0.0556,0.0,16,18,14
Cleave,0.0,0.0,0.5,16,18,14
Cone of Cold,0.0,0.1667,0.0,16,18,14
Counterspell,0.0,0.3333,0.0,16,18,14
Cruel Taskmaster,0.0,0.0,0.7143,16,18,14
Cult Master,0.0625,0.0,0.0,16,18,14
Dark Iron Dwarf,0.0,0.0556,0.2857,16,18,14
Darkscale Healer,0.0,0.0556,0.0,16,18,14
Deadly Shot,0.6875,0.0,0.0,16,18,14
Dire Wolf Alpha,0.375,0.1667,0.0,16,18,14
Doomsayer,0.0,0.0556,0.0,16,18,14
Eaglehorn Bow,0.625,0.0,0.0,16,18,14
Earthen Ring Farseer,0.0625,0.3333,0.0,16,18,14
Elven Archer,0.0,0.2222,0.0,16,18,14
Ethereal Arcanist,0.0,0.2222,0.0,16,18,14
Execute,0.0,0.0,0.8571,16,18,14
Explosive Shot,0.4375,0.0,0.0,16,18,14
Explosive Trap,0.8125,0.0,0.0,16,18,14
Faceless Manipulator,0.0,0.1111,0.1429,16,18,14
Faerie Dragon,0.1875,0.2222,0.0,16,18,14
Fen Creeper,0.0,0.0556,0.0,16,18,14
Feugen,0.125,0.0556,0.0,16,18,14
Fiery War Axe,0.0,0.0,1.0,16,18,14
Fireball,0.0,1.0,0.0,16,18,14
Flamestrike,0.0,0.5556,0.0,16,18,14
Flare,0.6875,0.0,0.0,16,18,14
Freezing Trap,0.5625,0.0,0.0,16,18,14
Frost Nova,0.0,0.2222,0.0,16,18,14
Frostbolt,0.0,0.9444,0.0,16,18,14
Frothing Berserker,0.0,0.0,0.5,16,18,14
Gadgetzan Auctioneer,0.1875,0.1667,0.0714,16,18,14
Gnomish Inventor,0.0,0.0,0.2857,16,18,14
Goldshire Footman,0.125,0.0,0.0,16,18,14
Gorehowl,0.0,0.0,0.2143,16,18,14
Grimscale Oracle,0.0,0.0,0.0714,16,18,14
Grommash Hellscream,0.0,0.0,0.4286,16,18,14
Gurubashi Berserker,0.0,0.2222,0.0,16,18,14
Harvest Golem,0.0625,0.3889,0.0,16,18,14
Haunted Creeper,0.0625,0.0556,0.0,16,18,14
Heroic Strike,0.0,0.0,0.2857,16,18,14
Houndmaster,0.5,0.0,0.0,16,18,14
Hunter's Mark,0.8125,0.0,0.0,16,18,14
Ice Barrier,0.0,0.0556,0.0,16,18,14
Ice Block,0.0,0.2222,0.0,16,18,14
Ice Lance,0.0,0.2778,0.0,16,18,14
Imp Master,0.0,0.0,0.2857,16,18,14
Injured Blademaster,0.0,0.0556,0.0,16,18,14
Inner Rage,0.0,0.0,0.2857,16,18,14
Ironbeak Owl,0.125,0.0,0.1429,16,18,14
Ironfur Grizzly,0.125,0.0,0.0,16,18,14
Jungle Panther,0.0625,0.0,0.0,16,18,14
Kill Command,0.9375,0.0,0.0,16,18,14
King Krush,0.0625,0.0,0.0,16,18,14
Kirin Tor Mage,0.0,0.3333,0.0,16,18,14
Knife Juggler,0.125,0.3889,0.0,16,18,14
Kobold Geomancer,0.0,0.2222,0.0,16,18,14
Kor'kron Elite,0.0,0.0,0.1429,16,18,14
Leeroy Jenkins,0.375,0.1667,0.2143,16,18,14
Leper Gnome,0.3125,0.3889,0.5714,16,18,14
Loatheb,0.0625,0.1111,0.2857,16,18,14
Loot Hoarder,0.0625,0.2222,0.2857,16,18,14
Lord of the Arena,0.0,0.0556,0.0,16,18,14
Lorewalker Cho,0.0,0.0,0.1429,16,18,14
Mad Bomber,0.0,0.0556,0.0,16,18,14
Mad Scientist,0.0,0.0,0.2143,16,18,14
Mana Addict,0.0,0.1667,0.0,16,18,14
Mana Wyrm,0.0,0.7222,0.0,16,18,14
Master Swordsmith,0.0,0.0,0.0714,16,18,14
Mirror Entity,0.0,0.3889,0.0,16,18,14
Mirror Image,0.0,0.5556,0.0,16,18,14
Misdirection,0.5,0.0,0.0,16,18,14
Mortal Strike,0.0,0.0,0.3571,16,18,14
Multi-Shot,0.3125,0.0,0.0,16,18,14
Murloc Raider,0.25,0.0,0.0,16,18,14
Murloc Tidecaller,0.0,0.0556,0.0714,16,18,14
Murloc Tidehunter,0.0,0.1111,0.0,16,18,14
Nat Pagle,0.0,0.0556,0.0,16,18,14
Nerub'ar Weblord,0.125,0.0556,0.1429,16,18,14
Nozdormu,0.0,0.0556,0.0,16,18,14
Ogre Magi,0.0,0.1667,0.0,16,18,14
Pint-Sized Summoner,0.0,0.0,0.0714,16,18,14
Polymorph,0.0,0.6111,0.0,16,18,14
Priestess of Elune,0.0,0.0,0.1429,16,18,14
Pyroblast,0.0,0.1667,0.0,16,18,14
Raging Worgen,0.0,0.5,0.1429,16,18,14
Ragnaros the Firelord,0.0,0.3333,0.2143,16,18,14
Ravenholdt Assassin,0.0625,0.0,0.2857,16,18,14
Razorfen Hunter,0.0,0.0,0.2143,16,18,14
River Crocolisk,0.3125,0.1111,0.0,16,18,14
Savannah Highmane,0.5,0.0,0.0,16,18,14
Scavenging Hyena,0.875,0.0,0.0,16,18,14
Sen'jin Shieldmasta,0.0,0.2222,0.0,16,18,14
Shade of Naxxramas,0.0,0.0,0.0714,16,18,14
Shattered Sun Cleric,0.0,0.0,0.2857,16,18,14
Shield Block,0.0,0.0,0.7143,16,18,14
