card,hunter_share,mage_share,warrior_share,hunter_n_elites,mage_n_elites,warrior_n_elites
Abomination,0.0,0.0556,0.25,14,18,24
Abusive Sergeant,0.0,0.5,0.1667,14,18,24
Acidic Swamp Ooze,0.0,0.1111,0.0,14,18,24
Acolyte of Pain,0.2857,0.2222,0.75,14,18,24
Alarm-o-Bot,0.0,0.0,0.0417,14,18,24
Alexstrasza,0.0,0.1667,0.2083,14,18,24
Amani Berserker,0.0,0.3889,0.2083,14,18,24
Ancient Brewmaster,0.1429,0.0,0.0833,14,18,24
Angry Chicken,0.0,0.2778,0.0,14,18,24
Animal Companion,0.9286,0.0,0.0,14,18,24
Arathi Weaponsmith,0.0,0.0,0.2083,14,18,24
Arcane Explosion,0.0,0.1667,0.0,14,18,24
Arcane Golem,0.0,0.0556,0.125,14,18,24
Arcane Intellect,0.0,0.7222,0.0,14,18,24
Arcane Missiles,0.0,0.8333,0.0,14,18,24
Arcane Shot,0.2143,0.0,0.0,14,18,24
Arcanite Reaper,0.0,0.0,0.2917,14,18,24
Archmage,0.0,0.2222,0.0,14,18,24
Archmage Antonidas,0.0,0.1111,0.0,14,18,24
Argent Commander,0.0,0.0,0.4583,14,18,24
Argent Squire,0.0,0.1111,0.0,14,18,24
Armorsmith,0.0,0.0,0.75,14,18,24
Azure Drake,0.0,0.6667,0.5417,14,18,24
Baron Rivendare,0.0,0.0,0.0833,14,18,24
Battle Rage,0.0,0.0,0.0833,14,18,24
Big Game Hunter,0.0,0.1111,0.4167,14,18,24
Blizzard,0.0,0.3889,0.0,14,18,24
Bloodfen Raptor,0.0714,0.0,0.125,14,18,24
Bloodmage Thalnos,0.0,0.1667,0.0833,14,18,24
Bloodsail Raider,0.0,0.0,0.2083,14,18,24
Bluegill Warrior,0.0,0.2778,0.0,14,18,24
Boulderfist Ogre,0.0714,0.0,0.125,14,18,24
Brawl,0.0,0.0,0.5417,14,18,24
Cairne Bloodhoof,0.0,0.1111,0.1667,14,18,24
Charge,0.0,0.0,0.125,14,18,24
Chillwind Yeti,0.0,0.1111,0.0,14,18,24
Cleave,0.0,0.0,0.5833,14,18,24
Coldlight Oracle,0.0714,0.0,0.0,14,18,24
Cone of Cold,0.0,0.2222,0.0,14,18,24
Counterspell,0.0,0.2222,0.0,14,18,24
Cruel Taskmaster,0.0,0.0,0.875,14,18,24
Dancing Swords,0.1429,0.0,0.0417,14,18,24
Dark Iron Dwarf,0.0,0.0556,0.0833,14,18,24
Darkscale Healer,0.0,0.0,0.0833,14,18,24
Deadly Shot,0.5714,0.0,0.0,14,18,24
Dire Wolf Alpha,0.1429,0.1111,0.0,14,18,24
Doomsayer,0.1429,0.3333,0.0,14,18,24
Eaglehorn Bow,0.2857,0.0,0.0,14,18,24
Earthen Ring Farseer,0.0,0.5,0.0,14,18,24
Echoing Ooze,0.2143,0.0,0.0,14,18,24
Elite Tauren Chieftain,0.0,0.0556,0.0,14,18,24
Elven Archer,0.0,0.1667,0.0,14,18,24
Ethereal Arcanist,0.0,0.1111,0.0,14,18,24
Execute,0.0,0.0,0.875,14,18,24
Explosive Shot,0.5,0.0,0.0,14,18,24
Explosive Trap,0.8571,0.0,0.0,14,18,24
Faceless Manipulator,0.0,0.1111,0.2083,14,18,24
Faerie Dragon,0.0,0.2778,0.0417,14,18,24
Fen Creeper,0.0,0.0556,0.0,14,18,24
Feugen,0.1429,0.0556,0.0417,14,18,24
Fiery War Axe,0.0,0.0,1.0,14,18,24
Fireball,0.0,1.0,0.0,14,18,24
Flamestrike,0.0,0.4444,0.0,14,18,24
Flare,0.4286,0.0,0.0,14,18,24
Flesheating Ghoul,0.2857,0.1111,0.0,14,18,24
Freezing Trap,0.3571,0.0,0.0,14,18,24
Frost Nova,0.0,0.3333,0.0,14,18,24
Frostbolt,0.0,0.8889,0.0,14,18,24
Frostwolf Grunt,0.0,0.0556,0.0,14,18,24
Frothing Berserker,0.0,0.0,0.4167,14,18,24
Gadgetzan Auctioneer,0.1429,0.3889,0.0,14,18,24
Gnomish Inventor,0.0,0.0,0.125,14,18,24
Goldshire Footman,0.1429,0.0,0.0,14,18,24
Gorehowl,0.0,0.0,0.2083,14,18,24
Grommash Hellscream,0.0,0.0,0.5833,14,18,24
Gurubashi Berserker,0.0,0.1111,0.0,14,18,24
Harrison Jones,0.0,0.0,0.0417,14,18,24
Harvest Golem,0.0,0.4444,0.0,14,18,24
