card,hunter_share,mage_share,warrior_share,hunter_n_elites,mage_n_elites,warrior_n_elites
Abomination,0.0,0.0,0.32,12,21,25
Abusive Sergeant,0.0,0.381,0.2,12,21,25
Acidic Swamp Ooze,0.0,0.1905,0.04,12,21,25
Acolyte of Pain,0.25,0.1429,0.68,12,21,25
Alarm-o-Bot,0.0,0.0,0.08,12,21,25
Alexstrasza,0.25,0.1905,0.2,12,21,25
Amani Berserker,0.0833,0.4286,0.2,12,21,25
Ancient Brewmaster,0.0,0.0,0.08,12,21,25
Ancient Watcher,0.0,0.0,0.08,12,21,25
Angry Chicken,0.0,0.1905,0.04,12,21,25
Animal Companion,1.0,0.0,0.0,12,21,25
Arathi Weaponsmith,0.0,0.0,0.24,12,21,25
Arcane Explosion,0.0,0.0952,0.0,12,21,25
Arcane Golem,0.0,0.0476,0.16,12,21,25
Arcane Intellect,0.0,0.5238,0.0,12,21,25
Arcane Missiles,0.0,0.5714,0.0,12,21,25
Arcane Shot,0.3333,0.0,0.0,12,21,25
Arcanite Reaper,0.0,0.0,0.36,12,21,25
Archmage,0.0,0.0952,0.0,12,21,25
Archmage Antonidas,0.0,0.0476,0.0,12,21,25
Argent Commander,0.0,0.0,0.32,12,21,25
Argent Squire,0.0,0.1905,0.04,12,21,25
Armorsmith,0.0,0.0,0.72,12,21,25
Azure Drake,0.0,0.619,0.52,12,21,25
Baron Geddon,0.0,0.0,0.2,12,21,25
Baron Rivendare,0.0,0.0,0.08,12,21,25
Battle Rage,0.0,0.0,0.08,12,21,25
Big Game Hunter,0.0,0.0952,0.4,12,21,25
Blizzard,0.0,0.381,0.0,12,21,25
Blood Knight,0.0,0.0,0.08,12,21,25
Bloodfen Raptor,0.1667,0.0,0.08,12,21,25
Bloodmage Thalnos,0.0,0.2857,0.0,12,21,25
Bloodsail Corsair,0.0,0.0,0.04,12,21,25
Bloodsail Raider,0.0,0.0,0.24,12,21,25
Bluegill Warrior,0.0,0.3333,0.0,12,21,25
Boulderfist Ogre,0.0,0.0,0.08,12,21,25
Brawl,0.0,0.0,0.68,12,21,25
Cairne Bloodhoof,0.0,0.0952,0.0,12,21,25
Captain's Parrot,0.0,0.0,0.04,12,21,25
Charge,0.0,0.0,0.08,12,21,25
Chillwind Yeti,0.25,0.0476,0.0,12,21,25
Cleave,0.0,0.0,0.52,12,21,25
Coldlight Seer,0.0833,0.0,0.0,12,21,25
Cone of Cold,0.0,0.1905,0.0,12,21,25
Core Hound,0.0,0.0476,0.04,12,21,25
Counterspell,0.0,0.1905,0.0,12,21,25
Cruel Taskmaster,0.0,0.0,0.88,12,21,25
Cult Master,0.0833,0.0,0.04,12,21,25
Dancing Swords,0.0833,0.1905,0.0,12,21,25
Dark Iron Dwarf,0.0,0.0952,0.08,12,21,25
Darkscale Healer,0.0,0.0,0.04,12,21,25
Deadly Shot,0.5833,0.0,0.0,12,21,25
Defender of Argus,0.0,0.0476,0.0,12,21,25
Demolisher,0.0,0.0,0.04,12,21,25
Dire Wolf Alpha,0.25,0.1429,0.04,12,21,25
Doomsayer,0.25,0.1429,0.08,12,21,25
Dread Corsair,0.0833,0.0,0.0,12,21,25
Eaglehorn Bow,0.3333,0.0,0.0,12,21,25
Earthen Ring Farseer,0.0,0.2857,0.0,12,21,25
Echoing Ooze,0.1667,0.1429,0.2,12,21,25
Elite Tauren Chieftain,0.0,0.1905,0.04,12,21,25
Elven Archer,0.0,0.2857,0.0,12,21,25
Ethereal Arcanist,0.0,0.0952,0.0,12,21,25
