card,hunter_share,mage_share,warrior_share,hunter_n_elites,mage_n_elites,warrior_n_elites
Abomination,0.0,0.0,0.2105,12,17,19
Abusive Sergeant,0.0,0.1765,0.0526,12,17,19
Acidic Swamp Ooze,0.0,0.1176,0.1579,12,17,19
Acolyte of Pain,0.0,0.2941,0.3684,12,17,19
Alarm-o-Bot,0.3333,0.0,0.1053,12,17,19
Alexstrasza,0.1667,0.2941,0.1579,12,17,19
Amani Berserker,0.1667,0.4118,0.3684,12,17,19
Ancient Brewmaster,0.0,0.0,0.1053,12,17,19
Ancient Watcher,0.0,0.0,0.3684,12,17,19
Angry Chicken,0.0,0.1765,0.0,12,17,19
Animal Companion,0.9167,0.0,0.0,12,17,19
Arathi Weaponsmith,0.0,0.0,0.4211,12,17,19
Arcane Golem,0.0,0.0,0.4211,12,17,19
Arcane Intellect,0.0,0.1176,0.0,12,17,19
Arcane Missiles,0.0,0.1176,0.0,12,17,19
Arcane Shot,0.1667,0.0,0.0,12,17,19
Arcanite Reaper,0.0,0.0,0.6842,12,17,19
Argent Commander,0.0,0.0,0.6316,12,17,19
Argent Squire,0.0,0.1176,0.0,12,17,19
Armorsmith,0.0,0.0,0.6316,12,17,19
Azure Drake,0.0,0.5882,0.3684,12,17,19
Baron Geddon,0.0,0.0,0.2105,12,17,19
Baron Rivendare,0.0,0.0,0.1053,12,17,19
Battle Rage,0.0,0.0,0.1579,12,17,19
Bestial Wrath,0.1667,0.0,0.0,12,17,19
Big Game Hunter,0.0,0.3529,0.1579,12,17,19
Blizzard,0.0,0.4706,0.0,12,17,19
Blood Knight,0.0,0.0,0.1053,12,17,19
Bloodfen Raptor,0.0,0.1176,0.0526,12,17,19
Bloodmage Thalnos,0.0833,0.0588,0.0,12,17,19
Bloodsail Raider,0.0,0.1765,0.4737,12,17,19
Bluegill Warrior,0.0,0.1176,0.0,12,17,19
Booty Bay Bodyguard,0.0833,0.0588,0.0,12,17,19
Boulderfist Ogre,0.0,0.0588,0.0526,12,17,19
Brawl,0.0,0.0,0.5263,12,17,19
Cairne Bloodhoof,0.0,0.1765,0.0,12,17,19
Charge,0.0,0.0,0.1579,12,17,19
Chillwind Yeti,0.4167,0.0588,0.0526,12,17,19
Cleave,0.0,0.0,0.3684,12,17,19
Cone of Cold,0.0,0.1176,0.0,12,17,19
Core Hound,0.0,0.2941,0.0,12,17,19
Crazed Alchemist,0.0,0.1176,0.0,12,17,19
Cruel Taskmaster,0.0,0.0,0.9474,12,17,19
Cult Master,0.0833,0.0,0.1579,12,17,19
Dancing Swords,0.0,0.3529,0.0,12,17,19
Dark Iron Dwarf,0.0,0.0,0.0526,12,17,19
Deadly Shot,0.5,0.0,0.0,12,17,19
Demolisher,0.0,0.1176,0.3158,12,17,19
Dire Wolf Alpha,0.1667,0.1765,0.0,12,17,19
Doomsayer,0.5,0.1765,0.0,12,17,19
Dread Corsair,0.3333,0.0,0.0,12,17,19
Eaglehorn Bow,0.5833,0.0,0.0,12,17,19
Earthen Ring Farseer,0.0,0.2941,0.0,12,17,19
Echoing Ooze,0.0,0.2941,0.1579,12,17,19
Elite Tauren Chieftain,0.0,0.4706,0.0526,12,17,19
Elven Archer,0.0,0.1176,0.0526,12,17,19
Emperor Cobra,0.0,0.0,0.2632,12,17,19
Execute,0.0,0.0,0.6842,12,17,19
Explosive Shot,0.3333,0.0,0.0,12,17,19
Explosive Trap,0.75,0.0,0.0,12,17,19
Faceless Manipulator,0.1667,0.2941,0.1579,12,17,19
Faerie Dragon,0.0,0.1176,0.0,12,17,19
Fen Creeper,0.0,0.0,0.1579,12,17,19
Feugen,0.0,0.2353,0.0,12,17,19
Fiery War Axe,0.0,0.0,0.7368,12,17,19
Fireball,0.0,0.9412,0.0,12,17,19
Flamestrike,0.0,0.4118,0.0,12,17,19
Flare,0.3333,0.0,0.0,12,17,19
Flesheating Ghoul,0.3333,0.0,0.0,12,17,19
Freezing Trap,0.5,0.0,0.0,12,17,19
Frostbolt,0.0,0.8824,0.0,12,17,19
Frostwolf Grunt,0.25,0.0,0.0,12,17,19
Frostwolf Warlord,0.0,0.0,0.0526,12,17,19
Frothing Berserker,0.0,0.0,0.6316,12,17,19
Gadgetzan Auctioneer,0.0,0.1176,0.0,12,17,19
Gnomish Inventor,0.0,0.0,0.0526,12,17,19
Goldshire Footman,0.1667,0.0,0.0,12,17,19
Gorehowl,0.0,0.0,0.1579,12,17,19
Grommash Hellscream,0.0,0.0,0.5263,12,17,19
Harrison Jones,0.0,0.0,0.0526,12,17,19
Harvest Golem,0.0,0.4118,0.2632,12,17,19
Haunted Creeper,0.5,0.0,0.0,12,17,19
Heroic Strike,0.0,0.0,0.5263,12,17,19
Houndmaster,0.75,0.0,0.0,12,17,19
Hunter's Mark,0.1667,0.0,0.0,12,17,19
Ice Barrier,0.0,0.4706,0.0,12,17,19
Ice Block,0.0,0.1176,0.0,12,17,19
Ice Lance,0.0,0.4118,0.0,12,17,19
Imp Master,0.0,0.0,0.0526,12,17,19
Injured Blademaster,0.0833,0.1176,0.0,12,17,19
Inner Rage,0.0,0.0,0.3158,12,17,19
Ironfur Grizzly,0.0833,0.1176,0.0,12,17,19
Jungle Panther,0.0,0.0,0.0526,12,17,19
Kel'Thuzad,0.4167,0.0,0.0,12,17,19
Kill Command,1.0,0.0,0.0,12,17,19
King Krush,0.5,0.0,0.0,12,17,19
Kirin Tor Mage,0.0,0.1176,0.0,12,17,19
Knife Juggler,0.0,0.5882,0.0,12,17,19
Kobold Geomancer,0.0,0.1765,0.0,12,17,19
Kor'kron Elite,0.0,0.0,0.3158,12,17,19
Leeroy Jenkins,0.4167,0.2353,0.2632,12,17,19
Leper Gnome,0.1667,0.5882,0.4737,12,17,19
Loatheb,0.5,0.4118,0.3684,12,17,19
Loot Hoarder,0.0833,0.0,0.0526,12,17,19
Mad Bomber,0.0,0.1176,0.0,12,17,19
Mad Scientist,0.5833,0.0,0.2632,12,17,19
Maexxna,0.3333,0.0,0.0,12,17,19
Mana Addict,0.25,0.1176,0.0,12,17,19
Mana Wraith,0.0833,0.0,0.0,12,17,19
Mana Wyrm,0.0,0.7059,0.0,12,17,19
Master Swordsmith,0.3333,0.0,0.0,12,17,19
Millhouse Manastorm,0.0833,0.0,0.1053,12,17,19
Mirror Entity,0.0,0.2353,0.0,12,17,19
Mirror Image,0.0,0.7059,0.0,12,17,19
Mortal Strike,0.0,0.0,0.4737,12,17,19
Mountain Giant,0.0,0.0,0.2105,12,17,19
Multi-Shot,0.5,0.0,0.0,12,17,19
Murloc Raider,0.0833,0.2353,0.0,12,17,19
Murloc Tidehunter,0.0,0.1176,0.0,12,17,19
Murloc Warleader,0.0,0.0,0.2105,12,17,19
Nerub'ar Weblord,0.4167,0.0,0.0,12,17,19
Novice Engineer,0.0,0.0,0.1579,12,17,19
Nozdormu,0.0,0.1176,0.0,12,17,19
Oasis Snapjaw,0.0,0.0,0.1053,12,17,19
Ogre Magi,0.0,0.1176,0.0,12,17,19
Pint-Sized Summoner,0.0,0.1176,0.0526,12,17,19
Polymorph,0.0,0.5294,0.0,12,17,19
Priestess of Elune,0.0,0.0,0.1053,12,17,19
Raging Worgen,0.0,0.5882,0.2632,12,17,19
Ragnaros the Firelord,0.0833,0.8235,0.1053,12,17,19
Ravenholdt Assassin,0.0,0.0,0.0526,12,17,19
Razorfen Hunter,0.0,0.1176,0.0526,12,17,19
Reckless Rocketeer,0.0,0.0,0.0526,12,17,19
River Crocolisk,0.3333,0.0,0.0,12,17,19
Savannah Highmane,0.5,0.0,0.0,12,17,19
Scarlet Crusader,0.0,0.2353,0.0,12,17,19
Scavenging Hyena,0.9167,0.0,0.0,12,17,19
Sea Giant,0.0,0.1765,0.0,12,17,19
Secretkeeper,0.0,0.6471,0.0,12,17,19
Shield Block,0.0,0.0,0.5789,12,17,19
Shield Slam,0.0,0.0,0.5263,12,17,19
Shieldbearer,0.0,0.4118,0.0,12,17,19
Silver Hand Knight,0.0,0.1765,0.3158,12,17,19
Silvermoon Guardian,0.0,0.0588,0.0526,12,17,19
Slam,0.0,0.0,0.6316,12,17,19
Sludge Belcher,0.5833,0.5882,0.4211,12,17,19
Snake Trap,0.1667,0.0,0.0,12,17,19
Sorcerer's Apprentice,0.0,0.7059,0.0,12,17,19
Southsea Deckhand,0.0,0.1176,0.0526,12,17,19
