generation,best_winrate_vs_hof,mean_winrate_vs_hof,promoted,winrate_vs_champion,hof_size
1,0.625,0.46935096153846156,False,0.49166666666666664,1
2,0.59375,0.49609375,False,0.4083333333333333,1
3,0.6352163461538461,0.5307606456043956,False,0.5166666666666667,1
4,0.578125,0.4401614010989011,False,0.4916666666666667,1
5,0.5703125,0.4652730082417582,False,0.5083333333333333,1
6,0.578125,0.44490899725274724,False,0.5416666666666666,1
7,0.571875,0.47387534340659343,False,0.4583333333333333,1
8,0.5961538461538461,0.48136160714285714,False,0.5083333333333333,1
9,0.5703125,0.4893973214285714,False,0.475,1
10,0.5867788461538461,0.4487122252747253,False,0.48333333333333334,1
