generation,class,card,share,n_unique_elites
0,HUNTER,Animal Companion,1.0,9
0,HUNTER,Arcane Shot,0.3333,9
0,HUNTER,Azure Drake,0.1111,9
0,HUNTER,Bloodfen Raptor,0.1111,9
0,HUNTER,Booty Bay Bodyguard,0.1111,9
0,HUNTER,Deadly Shot,0.6667,9
0,HUNTER,Defender of Argus,0.1111,9
0,HUNTER,Dire Wolf Alpha,0.1111,9
0,HUNTER,Eaglehorn Bow,0.7778,9
0,HUNTER,Echoing Ooze,0.1111,9
0,HUNTER,Emperor Cobra,0.1111,9
0,HUNTER,Explosive Shot,0.1111,9
0,HUNTER,Explosive Trap,0.7778,9
0,HUNTER,Faerie Dragon,0.1111,9
0,HUNTER,Feugen,0.1111,9
0,HUNTER,Flare,0.8889,9
0,HUNTER,Freezing Trap,0.5556,9
0,HUNTER,Gladiator's Longbow,0.1111,9
0,HUNTER,Houndmaster,0.7778,9
0,HUNTER,Hunter's Mark,0.6667,9
0,HUNTER,Ironbeak Owl,0.4444,9
0,HUNTER,Ironfur Grizzly,0.1111,9
0,HUNTER,Kill Command,0.7778,9
0,HUNTER,King Krush,0.1111,9
0,HUNTER,Knife Juggler,0.1111,9
0,HUNTER,Leeroy Jenkins,0.4444,9
0,HUNTER,Leper Gnome,0.1111,9
0,HUNTER,Loatheb,0.1111,9
0,HUNTER,Loot Hoarder,0.1111,9
0,HUNTER,Misdirection,0.1111,9
0,HUNTER,Multi-Shot,0.1111,9
0,HUNTER,Nat Pagle,0.1111,9
0,HUNTER,Raid Leader,0.1111,9
0,HUNTER,River Crocolisk,0.3333,9
0,HUNTER,Savannah Highmane,0.8889,9
0,HUNTER,Scavenging Hyena,0.6667,9
0,HUNTER,Sea Giant,0.1111,9
0,HUNTER,Shieldbearer,0.1111,9
0,HUNTER,Silverback Patriarch,0.1111,9
0,HUNTER,Snake Trap,0.3333,9
0,HUNTER,Snipe,0.2222,9
0,HUNTER,Stampeding Kodo,0.4444,9
0,HUNTER,Starving Buzzard,0.8889,9
0,HUNTER,Stonetusk Boar,0.4444,9
0,HUNTER,Stormwind Champion,0.1111,9
0,HUNTER,Stranglethorn Tiger,0.1111,9
0,HUNTER,Timber Wolf,0.7778,9
0,HUNTER,Tracking,0.4444,9
0,HUNTER,Tundra Rhino,0.1111,9
0,HUNTER,Undertaker,0.1111,9
0,HUNTER,Unleash the Hounds,1.0,9
0,HUNTER,Voodoo Doctor,0.1111,9
0,HUNTER,Zombie Chow,0.1111,9
0,MAGE,Abusive Sergeant,0.0769,13
0,MAGE,Acidic Swamp Ooze,0.1538,13
0,MAGE,Acolyte of Pain,0.3077,13
0,MAGE,Alexstrasza,0.1538,13
0,MAGE,Amani Berserker,0.4615,13
0,MAGE,Ancient Watcher,0.1538,13
0,MAGE,Arcane Explosion,0.4615,13
0,MAGE,Arcane Golem,0.0769,13
0,MAGE,Arcane Intellect,0.6923,13
0,MAGE,Arcane Missiles,0.5385,13
0,MAGE,Archmage,0.0769,13
0,MAGE,Archmage Antonidas,0.4615,13
0,MAGE,Argent Commander,0.1538,13
