generation,class,n_elites,mean_fitness,best_fitness,mean_novelty
0,HUNTER,9,0.5514,0.6343,1.22
0,MAGE,13,0.464,0.7454,0.62
0,WARRIOR,13,0.4712,0.5602,1.31
1,HUNTER,10,0.5769,0.6435,2.1
1,MAGE,14,0.5112,0.8009,0.93
1,WARRIOR,14,0.4993,0.5602,2.36
2,HUNTER,10,0.5954,0.662,2.4
2,MAGE,16,0.5035,0.8009,1.5
2,WARRIOR,16,0.5072,0.5972,2.44
3,HUNTER,11,0.5749,0.662,2.45
3,MAGE,17,0.4995,0.8009,1.65
3,WARRIOR,15,0.5059,0.5556,2.73
4,HUNTER,12,0.5579,0.662,2.67
4,MAGE,18,0.5108,0.8009,1.78
4,WARRIOR,15,0.5117,0.5556,2.73
5,HUNTER,12,0.5494,0.662,2.92
5,MAGE,20,0.4931,0.8009,2.25
5,WARRIOR,15,0.5151,0.5602,2.87
6,HUNTER,12,0.5613,0.662,3.08
6,MAGE,20,0.5056,0.8009,2.25
6,WARRIOR,14,0.5284,0.5972,3.21
7,HUNTER,14,0.5645,0.662,3.71
7,MAGE,20,0.4773,0.8009,2.8
7,WARRIOR,14,0.5271,0.5741,3.21
8,HUNTER,14,0.5718,0.6759,3.86
8,MAGE,20,0.46,0.7824,3.4
8,WARRIOR,15,0.5392,0.625,3.53
9,HUNTER,15,0.5753,0.6759,4.87
9,MAGE,20,0.5028,0.8102,3.6
9,WARRIOR,17,0.5539,0.7037,4.18
10,HUNTER,16,0.5822,0.6759,5.62
10,MAGE,20,0.4458,0.8102,4.1
10,WARRIOR,17,0.5452,0.6528,4.18
11,HUNTER,16,0.5856,0.6759,5.88
11,MAGE,20,0.4843,0.8102,4.05
11,WARRIOR,19,0.5719,0.7083,4.79
12,HUNTER,16,0.6079,0.7269,5.94
12,MAGE,20,0.5285,0.8009,4.15
12,WARRIOR,19,0.5911,0.7083,4.89
13,HUNTER,17,0.6016,0.7269,6.06
13,MAGE,20,0.5359,0.8102,3.55
13,WARRIOR,20,0.6,0.7083,5.85
14,HUNTER,17,0.6043,0.7269,6.29
14,MAGE,20,0.5417,0.8102,4.6
14,WARRIOR,20,0.5975,0.7037,6.1
15,HUNTER,19,0.625,0.7778,6.89
15,MAGE,20,0.4903,0.8241,4.6
15,WARRIOR,19,0.6265,0.7546,7.16
16,HUNTER,20,0.6354,0.7778,8
16,MAGE,20,0.5387,0.8241,5.75
16,WARRIOR,20,0.6581,0.7824,8.35
17,HUNTER,19,0.6382,0.7778,7.84
17,MAGE,20,0.5512,0.8657,6.7
17,WARRIOR,20,0.6583,0.8241,8.45
18,HUNTER,19,0.6382,0.7778,7.84
18,MAGE,20,0.5586,0.8102,6.2
18,WARRIOR,20,0.6259,0.7824,7.75
19,HUNTER,19,0.6394,0.7778,7.84
19,MAGE,20,0.5491,0.7824,6.15
19,WARRIOR,20,0.6442,0.8241,7.65
20,HUNTER,19,0.6445,0.7778,8
20,MAGE,20,0.5947,0.8657,6.25
20,WARRIOR,20,0.6405,0.8241,7.95
21,HUNTER,17,0.6438,0.7778,8.53
21,MAGE,20,0.5514,0.8657,5.85
21,WARRIOR,20,0.6549,0.8241,8.25
22,HUNTER,17,0.6487,0.787,8.88
22,MAGE,20,0.6153,0.8472,5.4
22,WARRIOR,20,0.641,0.8241,7.55
23,HUNTER,18,0.6415,0.7917,8.89
23,MAGE,20,0.5806,0.8472,6.6
23,WARRIOR,20,0.6343,0.7685,7.85
24,HUNTER,18,0.6435,0.7917,9
24,MAGE,20,0.5347,0.7824,6.55
24,WARRIOR,20,0.6308,0.8241,8.05
