card,hunter_share,mage_share,warrior_share,hunter_n_elites,mage_n_elites,warrior_n_elites
Abomination,0.0,0.0444,0.0606,12,45,33
Abusive Sergeant,0.0,0.0,0.0303,12,45,33
Acidic Swamp Ooze,0.1667,0.0,0.0909,12,45,33
Acolyte of Pain,0.0,0.8222,0.7273,12,45,33
Alexstrasza,0.0,0.5333,0.1818,12,45,33
Amani Berserker,0.0,0.1778,0.3636,12,45,33
Ancient Brewmaster,0.0,0.0222,0.0,12,45,33
Animal Companion,1.0,0.0,0.0,12,45,33
Arathi Weaponsmith,0.0,0.0,0.1818,12,45,33
Arcane Golem,0.0,0.0,0.0606,12,45,33
Arcane Intellect,0.0,0.8222,0.0,12,45,33
Arcane Missiles,0.0,0.4667,0.0,12,45,33
Arcane Shot,0.75,0.0,0.0,12,45,33
Arcanite Reaper,0.0,0.0,0.2424,12,45,33
Archmage Antonidas,0.0,0.5111,0.0,12,45,33
Argent Commander,0.0,0.0,0.1515,12,45,33
Argent Squire,0.0,0.0444,0.2121,12,45,33
Armorsmith,0.0,0.0,0.697,12,45,33
Azure Drake,0.0,0.9333,0.1515,12,45,33
Baron Geddon,0.0,0.0,0.1515,12,45,33
Baron Rivendare,0.0833,0.0,0.0,12,45,33
Battle Rage,0.0,0.0,0.0909,12,45,33
Big Game Hunter,0.0,0.0,0.3636,12,45,33
Blizzard,0.0,0.6889,0.0,12,45,33
Bloodfen Raptor,0.1667,0.0,0.0,12,45,33
Bloodmage Thalnos,0.0,0.7556,0.0,12,45,33
Bloodsail Corsair,0.0,0.1333,0.0,12,45,33
Bloodsail Raider,0.0,0.0,0.1515,12,45,33
Bluegill Warrior,0.0,0.0667,0.0303,12,45,33
Booty Bay Bodyguard,0.0,0.0,0.1515,12,45,33
Brawl,0.0,0.0,0.2727,12,45,33
Cairne Bloodhoof,0.0,0.0889,0.1818,12,45,33
Captain's Parrot,0.0833,0.0,0.0,12,45,33
Charge,0.0,0.0,0.0303,12,45,33
Chillwind Yeti,0.0,0.0222,0.1515,12,45,33
Cleave,0.0,0.0,0.5455,12,45,33
Coldlight Oracle,0.0,0.0,0.0303,12,45,33
Cone of Cold,0.0,0.1111,0.0,12,45,33
Core Hound,0.0833,0.0,0.0,12,45,33
Cruel Taskmaster,0.0,0.0,0.8788,12,45,33
Cult Master,0.0,0.1778,0.0909,12,45,33
Dancing Swords,0.0,0.0222,0.0303,12,45,33
Dark Iron Dwarf,0.0,0.0,0.1212,12,45,33
Darkscale Healer,0.0,0.0,0.0909,12,45,33
Deadly Shot,0.0833,0.0,0.0,12,45,33
Deathlord,0.0,0.0,0.0303,12,45,33
Defender of Argus,0.0,0.1111,0.2727,12,45,33
Demolisher,0.0,0.0222,0.0303,12,45,33
Dire Wolf Alpha,0.25,0.0,0.1212,12,45,33
Doomsayer,0.0,0.3556,0.0606,12,45,33
Dragonling Mechanic,0.0,0.0222,0.0606,12,45,33
Dread Corsair,0.0833,0.0,0.0,12,45,33
Duplicate,0.0,0.0667,0.0,12,45,33
Eaglehorn Bow,0.3333,0.0,0.0,12,45,33
Earthen Ring Farseer,0.0,0.1333,0.0,12,45,33
Elite Tauren Chieftain,0.0,0.0222,0.0303,12,45,33
Elven Archer,0.0833,0.0,0.0909,12,45,33
Ethereal Arcanist,0.0,0.1333,0.0,12,45,33
Execute,0.0,0.0,0.9394,12,45,33
Explosive Shot,0.4167,0.0,0.0,12,45,33
Explosive Trap,0.6667,0.0,0.0,12,45,33
Faceless Manipulator,0.0,0.1556,0.0909,12,45,33
Faerie Dragon,0.0,0.0889,0.0606,12,45,33
Fen Creeper,0.0,0.0444,0.0303,12,45,33
Feugen,0.0,0.0222,0.0,12,45,33
Fiery War Axe,0.0,0.0,0.5758,12,45,33
Fireball,0.0,0.9778,0.0,12,45,33
Flamestrike,0.0,0.9556,0.0,12,45,33
