generation,class,card,share,n_unique_elites
0,HUNTER,Abusive Sergeant,0.1111,9
0,HUNTER,Alexstrasza,0.2222,9
0,HUNTER,Ancient Brewmaster,0.1111,9
0,HUNTER,Animal Companion,0.5556,9
0,HUNTER,Arcane Golem,0.1111,9
0,HUNTER,Arcane Shot,0.3333,9
0,HUNTER,Argent Squire,0.1111,9
0,HUNTER,Baron Geddon,0.1111,9
0,HUNTER,Baron Rivendare,0.1111,9
0,HUNTER,Coldlight Oracle,0.1111,9
0,HUNTER,Crazed Alchemist,0.1111,9
0,HUNTER,Deadly Shot,0.2222,9
0,HUNTER,Deathlord,0.1111,9
0,HUNTER,Dire Wolf Alpha,0.3333,9
0,HUNTER,Eaglehorn Bow,0.7778,9
0,HUNTER,Elven Archer,0.1111,9
0,HUNTER,Explosive Shot,0.3333,9
0,HUNTER,Explosive Trap,0.7778,9
0,HUNTER,Feugen,0.1111,9
0,HUNTER,Flare,0.5556,9
0,HUNTER,Freezing Trap,0.6667,9
0,HUNTER,Frostwolf Grunt,0.1111,9
0,HUNTER,Goldshire Footman,0.1111,9
0,HUNTER,Harvest Golem,0.1111,9
0,HUNTER,Haunted Creeper,0.5556,9
0,HUNTER,Houndmaster,0.3333,9
0,HUNTER,Hungry Crab,0.1111,9
0,HUNTER,Hunter's Mark,0.7778,9
0,HUNTER,Ironbeak Owl,0.1111,9
0,HUNTER,Kel'Thuzad,0.1111,9
0,HUNTER,Kill Command,0.3333,9
0,HUNTER,King Krush,0.1111,9
0,HUNTER,Knife Juggler,0.1111,9
0,HUNTER,Leeroy Jenkins,0.3333,9
0,HUNTER,Leper Gnome,0.6667,9
0,HUNTER,Loatheb,0.2222,9
0,HUNTER,Loot Hoarder,0.3333,9
0,HUNTER,Mad Scientist,0.6667,9
0,HUNTER,Maexxna,0.1111,9
0,HUNTER,Misdirection,0.3333,9
0,HUNTER,Multi-Shot,0.2222,9
0,HUNTER,Murloc Raider,0.1111,9
0,HUNTER,Murloc Tidehunter,0.1111,9
0,HUNTER,Nat Pagle,0.1111,9
0,HUNTER,Nerub'ar Weblord,0.1111,9
0,HUNTER,Ragnaros the Firelord,0.1111,9
0,HUNTER,Raid Leader,0.1111,9
0,HUNTER,Savannah Highmane,0.4444,9
0,HUNTER,Scarlet Crusader,0.1111,9
0,HUNTER,Scavenging Hyena,0.1111,9
0,HUNTER,Sea Giant,0.1111,9
0,HUNTER,Shieldbearer,0.2222,9
0,HUNTER,Sludge Belcher,0.2222,9
0,HUNTER,Snake Trap,0.1111,9
0,HUNTER,Stalagg,0.1111,9
0,HUNTER,Starving Buzzard,0.6667,9
0,HUNTER,Stonetusk Boar,0.2222,9
0,HUNTER,Sylvanas Windrunner,0.1111,9
0,HUNTER,Timber Wolf,0.2222,9
0,HUNTER,Tracking,0.2222,9
0,HUNTER,Undertaker,0.4444,9
0,HUNTER,Unleash the Hounds,0.8889,9
0,HUNTER,Unstable Ghoul,0.1111,9
0,HUNTER,Webspinner,0.5556,9
0,HUNTER,Wisp,0.1111,9
0,HUNTER,Wolfrider,0.1111,9
0,HUNTER,Worgen Infiltrator,0.1111,9
0,HUNTER,Young Dragonhawk,0.1111,9
0,HUNTER,Ysera,0.1111,9
0,MAGE,Acidic Swamp Ooze,0.125,16
0,MAGE,Acolyte of Pain,0.0625,16
0,MAGE,Alexstrasza,0.1875,16
0,MAGE,Amani Berserker,0.125,16
0,MAGE,Arcane Explosion,0.375,16
0,MAGE,Arcane Golem,0.0625,16
0,MAGE,Arcane Intellect,0.6875,16
0,MAGE,Arcane Missiles,0.375,16
0,MAGE,Archmage Antonidas,0.125,16
0,MAGE,Argent Commander,0.125,16
0,MAGE,Azure Drake,0.3125,16
0,MAGE,Baron Rivendare,0.0625,16
0,MAGE,Blizzard,0.5,16
0,MAGE,Bloodfen Raptor,0.0625,16
0,MAGE,Bloodmage Thalnos,0.25,16
0,MAGE,Bluegill Warrior,0.0625,16
0,MAGE,Booty Bay Bodyguard,0.0625,16
0,MAGE,Cairne Bloodhoof,0.1875,16
0,MAGE,Chillwind Yeti,0.125,16
0,MAGE,Cone of Cold,0.375,16
0,MAGE,Counterspell,0.5,16
0,MAGE,Cult Master,0.0625,16
0,MAGE,Dancing Swords,0.125,16
0,MAGE,Darkscale Healer,0.0625,16
0,MAGE,Deathlord,0.0625,16
0,MAGE,Demolisher,0.0625,16
0,MAGE,Doomsayer,0.375,16
0,MAGE,Duplicate,0.375,16
0,MAGE,Earthen Ring Farseer,0.125,16
0,MAGE,Echoing Ooze,0.0625,16
0,MAGE,Elven Archer,0.1875,16
0,MAGE,Ethereal Arcanist,0.1875,16
0,MAGE,Faerie Dragon,0.1875,16
0,MAGE,Feugen,0.1875,16
0,MAGE,Fireball,1.0,16
0,MAGE,Flamestrike,0.875,16
0,MAGE,Frost Nova,0.5625,16
0,MAGE,Frostbolt,0.875,16
0,MAGE,Frostwolf Grunt,0.0625,16
0,MAGE,Frostwolf Warlord,0.0625,16
0,MAGE,Gadgetzan Auctioneer,0.0625,16
0,MAGE,Gnomish Inventor,0.0625,16
0,MAGE,Harvest Golem,0.0625,16
0,MAGE,Hungry Crab,0.0625,16
0,MAGE,Ice Barrier,0.5625,16
0,MAGE,Ice Block,0.625,16
0,MAGE,Ice Lance,0.3125,16
0,MAGE,Imp Master,0.0625,16
0,MAGE,Ironfur Grizzly,0.0625,16
0,MAGE,Kirin Tor Mage,0.25,16
0,MAGE,Knife Juggler,0.0625,16
0,MAGE,Leper Gnome,0.125,16
0,MAGE,Loatheb,0.25,16
0,MAGE,Loot Hoarder,0.1875,16
0,MAGE,Mad Scientist,0.4375,16
0,MAGE,Maexxna,0.0625,16
0,MAGE,Mana Wraith,0.0625,16
0,MAGE,Mana Wyrm,0.25,16
0,MAGE,Mirror Entity,0.3125,16
0,MAGE,Mirror Image,0.3125,16
0,MAGE,Mogu'shan Warden,0.125,16
0,MAGE,Molten Giant,0.0625,16
0,MAGE,Mountain Giant,0.0625,16
0,MAGE,Murloc Tidehunter,0.125,16
0,MAGE,Nerubian Egg,0.0625,16
0,MAGE,Nightblade,0.125,16
0,MAGE,Novice Engineer,0.1875,16
0,MAGE,Ogre Magi,0.0625,16
0,MAGE,Polymorph,0.5,16
0,MAGE,Pyroblast,0.3125,16
0,MAGE,Ragnaros the Firelord,0.1875,16
0,MAGE,Raid Leader,0.0625,16
0,MAGE,Razorfen Hunter,0.0625,16
0,MAGE,River Crocolisk,0.0625,16
0,MAGE,Secretkeeper,0.0625,16
0,MAGE,Sen'jin Shieldmasta,0.1875,16
0,MAGE,Shieldbearer,0.0625,16
0,MAGE,Sludge Belcher,0.25,16
0,MAGE,Sorcerer's Apprentice,0.25,16
0,MAGE,Spellbender,0.125,16
0,MAGE,Stalagg,0.1875,16
0,MAGE,Stormpike Commando,0.0625,16
0,MAGE,Sunwalker,0.0625,16
0,MAGE,Sylvanas Windrunner,0.125,16
0,MAGE,Undertaker,0.125,16
0,MAGE,Unstable Ghoul,0.0625,16
0,MAGE,Vaporize,0.4375,16
0,MAGE,Venture Co. Mercenary,0.0625,16
0,MAGE,Voodoo Doctor,0.125,16
0,MAGE,Water Elemental,0.125,16
0,MAGE,Wild Pyromancer,0.0625,16
0,MAGE,Wolfrider,0.125,16
0,MAGE,Young Dragonhawk,0.0625,16
0,MAGE,Ysera,0.0625,16
0,WARRIOR,Abomination,0.0909,11
0,WARRIOR,Acolyte of Pain,0.8182,11
0,WARRIOR,Alexstrasza,0.4545,11
