generation,class,n_elites,mean_fitness,best_fitness,mean_novelty
0,HUNTER,9,0.5926,0.7731,1
0,MAGE,16,0.531,0.7639,1.5
0,WARRIOR,11,0.6582,0.7824,1.18
1,HUNTER,10,0.6343,0.7731,1.5
1,MAGE,20,0.5419,0.7639,1.95
1,WARRIOR,13,0.672,0.8148,1.69
2,HUNTER,12,0.6292,0.7731,1.92
2,MAGE,20,0.5815,0.7639,2.3
2,WARRIOR,17,0.6814,0.8148,2.24
3,HUNTER,16,0.6308,0.7731,2.12
3,MAGE,20,0.506,0.7639,2.8
3,WARRIOR,20,0.6475,0.8148,2.55
4,HUNTER,16,0.6406,0.7731,2.12
4,MAGE,20,0.5127,0.7037,3.05
4,WARRIOR,20,0.6674,0.8148,2.5
5,HUNTER,16,0.6473,0.7731,2.12
5,MAGE,20,0.4898,0.7639,3.15
5,WARRIOR,20,0.6308,0.787,3.05
6,HUNTER,15,0.6491,0.7731,2.07
6,MAGE,20,0.5201,0.7037,2.85
6,WARRIOR,20,0.6188,0.8148,2.9
7,HUNTER,14,0.6571,0.7731,2
7,MAGE,20,0.4972,0.6991,2.8
7,WARRIOR,20,0.6384,0.8148,2.85
8,HUNTER,14,0.6511,0.7731,2
8,MAGE,20,0.5079,0.7037,3.2
8,WARRIOR,20,0.6259,0.8148,3.1
9,HUNTER,15,0.663,0.7824,2.2
9,MAGE,20,0.5062,0.6991,3.05
9,WARRIOR,20,0.6551,0.8148,2.95
10,HUNTER,18,0.6371,0.8009,2.33
10,MAGE,20,0.5118,0.7037,2.7
10,WARRIOR,20,0.6519,0.8148,3.15
11,HUNTER,18,0.652,0.8009,2.67
11,MAGE,20,0.5271,0.7037,3.05
11,WARRIOR,20,0.6715,0.8148,2.8
12,HUNTER,18,0.6479,0.8009,2.67
12,MAGE,20,0.4979,0.7176,3.55
12,WARRIOR,20,0.6674,0.8148,3.55
13,HUNTER,18,0.6499,0.8009,2.67
13,MAGE,20,0.487,0.7639,3.15
13,WARRIOR,20,0.7155,0.8148,3.2
14,HUNTER,19,0.6547,0.8009,2.74
14,MAGE,20,0.5336,0.7639,3.05
14,WARRIOR,20,0.6491,0.8148,4.2
15,HUNTER,19,0.6513,0.8009,2.74
15,MAGE,20,0.5123,0.7639,3.55
15,WARRIOR,20,0.6565,0.8056,4.35
16,HUNTER,19,0.654,0.8009,2.89
16,MAGE,20,0.4882,0.6991,3.65
16,WARRIOR,20,0.6514,0.7731,4.05
17,HUNTER,19,0.6603,0.8009,2.84
17,MAGE,20,0.5519,0.7176,3.2
17,WARRIOR,20,0.66,0.8056,4.2
18,HUNTER,17,0.6599,0.8009,2.76
18,MAGE,20,0.5493,0.7639,3.35
18,WARRIOR,20,0.6984,0.8148,4.65
19,HUNTER,19,0.674,0.8009,3.05
19,MAGE,20,0.51,0.7361,4.1
19,WARRIOR,20,0.6933,0.8194,4.4
20,HUNTER,19,0.6718,0.8009,3.05
20,MAGE,20,0.5424,0.7731,4.25
20,WARRIOR,20,0.659,0.8009,4.6
21,HUNTER,19,0.6706,0.8009,3.05
21,MAGE,20,0.5424,0.7731,4.3
21,WARRIOR,20,0.6799,0.7963,4.05
22,HUNTER,20,0.6671,0.8009,3.25
22,MAGE,20,0.5725,0.7731,4.1
22,WARRIOR,20,0.6197,0.8194,5.6
23,HUNTER,20,0.6738,0.8102,3.4
23,MAGE,20,0.5479,0.7685,4.15
23,WARRIOR,20,0.6532,0.8148,4.35
24,HUNTER,20,0.6819,0.8102,3.4
24,MAGE,20,0.5294,0.7639,4
24,WARRIOR,20,0.6104,0.8194,5.75
