card,hunter_share,mage_share,warrior_share,hunter_n_elites,mage_n_elites,warrior_n_elites
Abomination,0.0,0.0,0.0833,22,40,36
Acidic Swamp Ooze,0.0,0.075,0.0,22,40,36
Acolyte of Pain,0.0,0.025,0.9722,22,40,36
Alarm-o-Bot,0.0,0.125,0.0,22,40,36
Alexstrasza,0.2273,0.125,0.3333,22,40,36
Amani Berserker,0.0,0.0,0.1111,22,40,36
Ancient Brewmaster,0.2273,0.0,0.0,22,40,36
Ancient Mage,0.0,0.025,0.0,22,40,36
Animal Companion,0.3636,0.0,0.0,22,40,36
Arathi Weaponsmith,0.0,0.0,0.1111,22,40,36
Arcane Explosion,0.0,0.2,0.0,22,40,36
Arcane Intellect,0.0,0.7,0.0,22,40,36
Arcane Missiles,0.0,0.275,0.0,22,40,36
Arcane Shot,0.1364,0.0,0.0,22,40,36
Archmage Antonidas,0.0,0.025,0.0,22,40,36
Argent Commander,0.0,0.0,0.0833,22,40,36
Argent Squire,0.1364,0.0,0.0,22,40,36
Armorsmith,0.0,0.0,0.9167,22,40,36
Azure Drake,0.0,0.35,0.0833,22,40,36
Baron Geddon,0.1818,0.0,0.25,22,40,36
Baron Rivendare,0.1818,0.075,0.0,22,40,36
Battle Rage,0.0,0.0,0.1667,22,40,36
Blizzard,0.0,0.45,0.0,22,40,36
Blood Knight,0.0,0.1,0.0,22,40,36
Bloodmage Thalnos,0.0,0.05,0.0,22,40,36
Bloodsail Corsair,0.0,0.0,0.0278,22,40,36
Bluegill Warrior,0.0,0.1,0.0556,22,40,36
Booty Bay Bodyguard,0.0,0.075,0.0,22,40,36
Boulderfist Ogre,0.0,0.025,0.0,22,40,36
Brawl,0.0,0.0,0.5833,22,40,36
Cairne Bloodhoof,0.0,0.325,0.1667,22,40,36
Chillwind Yeti,0.0,0.05,0.0,22,40,36
Cleave,0.0,0.0,0.5833,22,40,36
Coldlight Oracle,0.0,0.025,0.0,22,40,36
Coldlight Seer,0.0,0.0,0.0278,22,40,36
Cone of Cold,0.0,0.3,0.0,22,40,36
Counterspell,0.0,0.825,0.0,22,40,36
Cruel Taskmaster,0.0,0.0,0.7778,22,40,36
Cult Master,0.0,0.05,0.0,22,40,36
Dalaran Mage,0.0,0.05,0.0,22,40,36
Dancing Swords,0.0455,0.1,0.0,22,40,36
Dark Iron Dwarf,0.0,0.075,0.0,22,40,36
Darkscale Healer,0.0,0.175,0.0,22,40,36
Deadly Shot,0.2273,0.0,0.0,22,40,36
Death's Bite,0.0,0.0,0.4444,22,40,36
Deathlord,0.0909,0.0,0.0,22,40,36
Defender of Argus,0.0,0.0,0.2222,22,40,36
Demolisher,0.0,0.1,0.0278,22,40,36
Dire Wolf Alpha,0.1364,0.0,0.0,22,40,36
Doomsayer,0.0,0.2,0.0,22,40,36
Dread Corsair,0.0,0.0,0.1111,22,40,36
Duplicate,0.0,0.35,0.0,22,40,36
Eaglehorn Bow,0.5,0.0,0.0,22,40,36
Earthen Ring Farseer,0.0,0.05,0.0278,22,40,36
Echoing Ooze,0.2727,0.05,0.0,22,40,36
Elven Archer,0.1364,0.275,0.0,22,40,36
Ethereal Arcanist,0.0,0.35,0.0,22,40,36
Execute,0.0,0.0,1.0,22,40,36
Explosive Shot,0.3636,0.0,0.0,22,40,36
Explosive Trap,0.6818,0.0,0.0,22,40,36
Faceless Manipulator,0.0,0.0,0.1111,22,40,36
Faerie Dragon,0.0,0.075,0.0,22,40,36
Fen Creeper,0.0,0.0,0.0556,22,40,36
