generation,time_elapsed,population,mean_fitness,best_fitness,best_sample
0,156.97740817070007,66,-24.755681818181817,-3.125,"[-7.636410158099602, -5.289945697148861, -1.882124283690505, -4.975148150421651, -1.701047943799317, 7.868744892576615, 3.9166519184732103, 6.337684467437011, 4.4234049016361325, 1.2589507924678962, 6.401783861312502, -7.543752886934783, -1.8591074526400497, -8.928997965329588, -6.43569418290501, -4.530507363337004, 8.699927098013287, -6.509241118388016, -7.206145512039443, 0.07572489321879772, 6.291185934210294]"
1,168.17923164367676,102,-24.080882352941178,-2.0,"[-7.636410158099602, -5.289945697148861, -1.882124283690505, -4.975148150421651, -1.701047943799317, 7.868744892576615, 3.9166519184732103, 6.337684467437011, 4.4234049016361325, 1.2589507924678962, 6.401783861312502, -7.543752886934783, -1.8591074526400497, -8.928997965329588, -6.43569418290501, -4.530507363337004, 8.699927098013287, -6.509241118388016, -7.206145512039443, 0.07572489321879772, 6.291185934210294]"
2,166.21447801589966,140,-23.669940476190476,-2.0,"[-7.636410158099602, -5.289945697148861, -1.882124283690505, -4.975148150421651, -1.701047943799317, 7.868744892576615, 3.9166519184732103, 6.337684467437011, 4.4234049016361325, 1.2589507924678962, 6.401783861312502, -7.543752886934783, -1.8591074526400497, -8.928997965329588, -6.43569418290501, -4.530507363337004, 8.699927098013287, -6.509241118388016, -7.206145512039443, 0.07572489321879772, 6.291185934210294]"
3,271.78628158569336,179,-22.980679702048416,-2.0,"[-7.636410158099602, -5.289945697148861, -1.882124283690505, -4.975148150421651, -1.701047943799317, 7.868744892576615, 3.9166519184732103, 6.337684467437011, 4.4234049016361325, 1.2589507924678962, 6.401783861312502, -7.543752886934783, -1.8591074526400497, -8.928997965329588, -6.43569418290501, -4.530507363337004, 8.699927098013287, -6.509241118388016, -7.206145512039443, 0.07572489321879772, 6.291185934210294]"
4,244.4376413822174,209,-22.45414673046252,1.625,"[-9.372469509322347, 0.46368505725981635, 2.808982504187675, 1.7899462602846867, -7.27161456987877, 7.7946244891532785, 2.7661241305627353, 5.984294457553375, -9.64638299103629, -3.697821497969973, -6.523501212656551, 4.451042109162016, -0.6129829968588467, -0.05324704241989231, -0.8156763826990918, -8.261953808910203, -4.122209196379938, 8.062161570960061, 1.1356860763085166, 6.009802532035888, -4.587725943574781]"
5,371.19340348243713,232,-22.18444683908046,1.625,"[-9.372469509322347, 0.46368505725981635, 2.808982504187675, 1.7899462602846867, -7.27161456987877, 7.7946244891532785, 2.7661241305627353, 5.984294457553375, -9.64638299103629, -3.697821497969973, -6.523501212656551, 4.451042109162016, -0.6129829968588467, -0.05324704241989231, -0.8156763826990918, -8.261953808910203, -4.122209196379938, 8.062161570960061, 1.1356860763085166, 6.009802532035888, -4.587725943574781]"
6,256.1441128253937,258,-21.981589147286822,1.625,"[-9.372469509322347, 0.46368505725981635, 2.808982504187675, 1.7899462602846867, -7.27161456987877, 7.7946244891532785, 2.7661241305627353, 5.984294457553375, -9.64638299103629, -3.697821497969973, -6.523501212656551, 4.451042109162016, -0.6129829968588467, -0.05324704241989231, -0.8156763826990918, -8.261953808910203, -4.122209196379938, 8.062161570960061, 1.1356860763085166, 6.009802532035888, -4.587725943574781]"
7,196.02055478096008,285,-21.721198830409357,1.625,"[-9.372469509322347, 0.46368505725981635, 2.808982504187675, 1.7899462602846867, -7.27161456987877, 7.7946244891532785, 2.7661241305627353, 5.984294457553375, -9.64638299103629, -3.697821497969973, -6.523501212656551, 4.451042109162016, -0.6129829968588467, -0.05324704241989231, -0.8156763826990918, -8.261953808910203, -4.122209196379938, 8.062161570960061, 1.1356860763085166, 6.009802532035888, -4.587725943574781]"
8,255.31862807273865,302,-21.595888520971304,1.625,"[-9.372469509322347, 0.46368505725981635, 2.808982504187675, 1.7899462602846867, -7.27161456987877, 7.7946244891532785, 2.7661241305627353, 5.984294457553375, -9.64638299103629, -3.697821497969973, -6.523501212656551, 4.451042109162016, -0.6129829968588467, -0.05324704241989231, -0.8156763826990918, -8.261953808910203, -4.122209196379938, 8.062161570960061, 1.1356860763085166, 6.009802532035888, -4.587725943574781]"
9,381.53195810317993,316,-21.466376582278482,1.625,"[-9.372469509322347, 0.46368505725981635, 2.808982504187675, 1.7899462602846867, -7.27161456987877, 7.7946244891532785, 2.7661241305627353, 5.984294457553375, -9.64638299103629, -3.697821497969973, -6.523501212656551, 4.451042109162016, -0.6129829968588467, -0.05324704241989231, -0.8156763826990918, -8.261953808910203, -4.122209196379938, 8.062161570960061, 1.1356860763085166, 6.009802532035888, -4.587725943574781]"
