name,mana
Goldshire Footman,1
Fen Creeper,5
Hunter's Mark,2
Earthen Ring Farseer,3
Magma Rager,3
Oasis Snapjaw,4
River Crocolisk,2
Frostwolf Grunt,2
Raid Leader,3
Wolfrider,3
Ironfur Grizzly,3
Silverback Patriarch,3
Stormwind Knight,4
Ironforge Rifleman,3
Kobold Geomancer,2
Southsea Deckhand,1
Gnomish Inventor,4
Stormpike Commando,5
Silver Hand Knight,5
Archmage,6
Ravenholdt Assassin,7
Lord of the Arena,6
Murloc Raider,1
Young Dragonhawk,1
Stonetusk Boar,1
Bloodfen Raptor,2
Bluegill Warrior,2
Sen'jin Shieldmasta,4
Injured Blademaster,3
Chillwind Yeti,4
War Golem,7
Booty Bay Bodyguard,5
Abusive Sergeant,1
Elven Archer,1
Razorfen Hunter,3
Ogre Magi,4
Boulderfist Ogre,6
Core Hound,7
Ironbeak Owl,3
Reckless Rocketeer,6
Spiteful Smith,5
Stormwind Champion,7
Frostwolf Warlord,5
Venture Co. Mercenary,5
Wisp,0
Starving Buzzard,5
Darkscale Healer,5
Houndmaster,4
Timber Wolf,1
Tundra Rhino,5
Multi-Shot,4
Tracking,1
Arcane Shot,1
Gladiator's Longbow,7
Lightwarden,1
Young Priestess,1
Big Game Hunter,5
Alarm-o-Bot,3
Acolyte of Pain,3
Argent Squire,1
Angry Chicken,1
Worgen Infiltrator,1
Voodoo Doctor,1
Novice Engineer,2
Jungle Panther,3
Shattered Sun Cleric,3
Scarlet Crusader,3
Thrallmar Farseer,3
Silvermoon Guardian,4
Dragonling Mechanic,4
Stranglethorn Tiger,5
Leper Gnome,1
Sunwalker,6
Windfury Harpy,6
Twilight Drake,4
Questing Adventurer,3
Ancient Watcher,2
Dark Iron Dwarf,4
Spellbreaker,4
Youthful Brewmaster,2
Mana Addict,2
Ancient Brewmaster,4
Sunfury Protector,2
Crazed Alchemist,2
Acidic Swamp Ooze,2
Argent Commander,6
Pint-Sized Summoner,2
Secretkeeper,1
Mad Bomber,2
Mind Control Tech,3
Arcane Golem,3
Defender of Argus,4
Gadgetzan Auctioneer,6
Loot Hoarder,2
Abomination,5
Demolisher,3
Coldlight Seer,3
Mountain Giant,12
Dire Wolf Alpha,2
Emperor Cobra,3
SI:7 Infiltrator,4
Arcane Devourer,8
Barrens Stablehand,7
Frost Elemental,6
Tauren Warrior,3
Amani Berserker,2
Mogu'shan Warden,4
Gurubashi Berserker,5
Shieldbearer,1
Raging Worgen,3
Murloc Tidehunter,2
Murloc Warleader,3
Grimscale Oracle,1
Murloc Tidecaller,1
Scavenging Hyena,2
Misdirection,2
Savannah Highmane,6
Eaglehorn Bow,3
Explosive Shot,5
Unleash the Hounds,3
Kill Command,3
Flare,2
Bestial Wrath,1
Snake Trap,2
Harvest Golem,3
Faceless Manipulator,5
Dalaran Mage,3
Priestess of Elune,6
Ancient Mage,4
Sea Giant,10
Blood Knight,3
Nightblade,5
Cult Master,4
Imp Master,3
Snipe,2
Explosive Trap,2
Freezing Trap,2
Mana Wraith,2
Deadly Shot,3
Hungry Crab,1
Bloodsail Raider,2
Knife Juggler,2
Wild Pyromancer,2
Doomsayer,2
Dread Corsair,4
Faerie Dragon,2
Bloodsail Corsair,1
Violet Teacher,4
Southsea Captain,3
Animal Companion,3
Master Swordsmith,2
Stampeding Kodo,5
Flesheating Ghoul,3
